baseMean	log2FoldChange	lfcSE	pvalue	padj
Ptgs1	868.634349460763	-4.10096814425805	0.193056819567756	5.26686070277207e-102	1.95144934421092e-100
Clec4e	210.698891417972	-4.04530757752313	0.37763280166563	1.38497617703488e-28	1.41273177248558e-27
Dgat2	624.609787213684	-4.04340920332251	0.239187187973528	6.15997452730866e-66	1.38881931289075e-64
Mt1	884.381234813153	-4.00923268485971	0.184069614526221	5.38977274672282e-107	2.1160098883842e-105
C3	2128.99406675356	-4.00519130859573	0.132908657651203	2.58572408911099e-201	2.306099767262e-199
Papss2	1307.91907019046	-3.98174648766994	0.157046820585872	1.2957694152295e-143	7.54841859345835e-142
Stxbp6	207.406378293044	-3.90144920896124	0.390950213898791	3.5785313246554e-25	3.24612409449839e-24
Dstn	6615.94223363853	-3.87816123805869	0.0694806819955641	0	0
Sgip1	111.64292235948	-3.86172011292545	0.537758275249619	1.4120513949058e-14	7.65088922465625e-14
Rab38	448.1040514348	-3.81658830967493	0.261299852449224	5.43756635135074e-50	9.5138530709918e-49
Siglecf	421.279834795199	-3.77597243503316	0.282296004700826	1.90230180376277e-42	2.90036271986705e-41
Svip	1351.80723262687	-3.74710906805628	0.145840200711269	3.26786012342855e-147	1.97206552837802e-145
Kcnip3	507.292958121003	-3.73406898608788	0.292724375583967	7.03069362668909e-39	9.70620963969488e-38
Ncam1	291.995112650496	-3.72683969255204	0.306468708931729	1.24808527347249e-35	1.58615427314701e-34
Fkbp11	429.908570284535	-3.70783347808697	0.260346705459019	1.28260369506861e-47	2.14362853049775e-46
Ccl9	2719.32560290426	-3.70008407709307	0.110891523465672	1.06438396234776e-245	1.23297259454491e-243
Tmem178	81.5585749611872	-3.68334920793088	0.628870270119272	1.12619109365204e-10	4.63633735368679e-10
Gm807	68.7326566939663	-3.67672989268179	0.66106455641789	6.22226417399308e-10	2.40076486774511e-09
Fcnb	645.650840634754	-3.67511178048439	0.204945153006406	1.77773947750414e-73	4.61754083873369e-72
AI839979	137.584641336975	-3.67023327741359	0.461985756820258	5.21029394830067e-17	3.25336693996122e-16
Fkbp1b	118.399731246789	-3.66856291358997	0.500438171818958	6.04748952264337e-15	3.37841460139689e-14
Xdh	778.6709938464	-3.66520440523405	0.193124341060178	7.02515145847395e-82	2.00565088947593e-80
Plod3	3308.44042821449	-3.65933735186049	0.0940166954562383	0	0
Dio2	208.421550448532	-3.65337413953199	0.380833936668245	2.38134206921838e-23	1.99494309007338e-22
Galm	173.45639063559	-3.64574863695827	0.409499952760053	1.52547815330038e-20	1.12628343069313e-19
1700020L24Rik	100.610927465113	-3.6196493224047	0.549105231882447	1.18384346376483e-12	5.62241961725823e-12
Tgfbi	661.322703762696	-3.6033286442133	0.204043259044317	2.62274804413909e-71	6.47844480118475e-70
Ltb4r1	1674.56712394962	-3.57883292477227	0.146720427802469	6.6144260836957e-133	3.40102990160639e-131
Krt18	238.941810259353	-3.56229230923152	0.335005715566803	6.74907625106769e-28	6.72106625081622e-27
Grb14	50.6117037811352	-3.55504582760276	0.800961149881417	1.84469762300956e-07	5.66967448755425e-07
Scarf1	121.152008658047	-3.55123399077919	0.481721699369719	5.21607617884062e-15	2.93019039745573e-14
App	1837.119684607	-3.54822319667875	0.128596779750902	4.71380262686453e-169	3.41767646572236e-167
Idh1	3634.63071824979	-3.54409342126427	0.0897954468377254	0	0
Ap3s1	1779.52955367043	-3.54254357631067	0.124768922301022	8.47334663964186e-179	6.7773323360564e-177
Ms4a6d	63.3405974702744	-3.53186646843059	0.674657637471636	4.20640201756818e-09	1.49848425355433e-08
Hdc	4182.22531865003	-3.52418666072798	0.0879245479978353	0	0
Coprs	99.9918873100982	-3.49607784571327	0.528372981422282	1.16833886749276e-12	5.55139986166527e-12
Kcnj2	95.8852621814987	-3.48799389546206	0.6143985694544	3.94537711672745e-10	1.55622350615966e-09
Aoah	348.912584029494	-3.48779415715186	0.326384677354618	4.32563347661332e-28	4.34200539614632e-27
Ly6c2	19106.3669464571	-3.48340409446537	0.0478006724799103	0	0
Rab32	2680.08732490478	-3.48323510070726	0.102143835793472	2.69563999306266e-256	3.23412617262922e-254
Daglb	1281.56303244035	-3.48095145545167	0.151190083668852	1.03224928732657e-118	4.54279839199877e-117
Dach1	196.019683493056	-3.44447998573009	0.365605861612962	1.71221957229099e-22	1.39835890190832e-21
Rnf125	332.877562963962	-3.43617182467838	0.280658728332511	7.36495049343315e-36	9.40734741100371e-35
Abca9	78.0027461974171	-3.43273003646467	0.63341070351138	1.73558692687495e-09	6.40704946851491e-09
Serpine2	971.941873730808	-3.4209967665633	0.176622910640681	5.98504697396424e-85	1.77403833540034e-83
Hnrnpll	2026.00923977495	-3.40590067937083	0.118796562381737	3.9589181264568e-182	3.24373795759606e-180
Siglece	194.05345837981	-3.37965256480689	0.400531083224383	1.32418125351382e-18	8.93246229779937e-18
Cebpb	1708.48588049705	-3.36313369602556	0.128320272694093	9.93730859889763e-153	6.33849342149939e-151
Gng11	61.6396865583321	-3.3610818573023	0.69266210806969	3.27039965300313e-08	1.08453727222657e-07
Gdf3	289.849312998382	-3.36089901838707	0.299354683416751	1.34903158599301e-30	1.46188605630511e-29
Gsr	11822.7842829062	-3.35211921995169	0.051876555972855	0	0
Gspt2	143.207834855178	-3.32254582761795	0.441102060152487	2.09666006659136e-15	1.2074365800633e-14
Cebpd	1553.7855163274	-3.31501490726731	0.128115439113018	6.49076522806185e-149	3.96448072535802e-147
Card9	310.18464064613	-3.30082500227957	0.299034983328342	1.22461975927866e-29	1.29097467928978e-28
Naip2	386.671048793745	-3.29687289342935	0.292371291334955	8.50220274032706e-31	9.2712017147917e-30
Gpr160	1564.81068330199	-3.27695683976984	0.127682658322845	1.57506707051832e-146	9.39261889744591e-145
Trim45	290.892327883316	-3.26505669048371	0.294105400669969	6.35705735022904e-30	6.7509403557016e-29
Fkbp9	197.482918364521	-3.25973723865727	0.381556248354377	6.27802793719475e-19	4.28658303191387e-18
Csf3r	1930.33517721746	-3.25365822472296	0.114615003927883	1.62856524578807e-178	1.29233705094899e-176
Mgst1	1330.61689753122	-3.25217003977804	0.138685675838785	7.49297995074518e-123	3.41693447708642e-121
Pygl	2189.76306293346	-3.24352051095549	0.114636402215842	2.36508481854234e-177	1.8621347500992e-175
Tacstd2	199.696840243586	-3.24186814594278	0.355062374104865	3.44240808785304e-21	2.64223828708171e-20
Nkg7	6439.55544592796	-3.21301489561457	0.0692641568532948	0	0
Rnf144b	162.56017811533	-3.21000865417569	0.408719596569592	1.97480011829047e-16	1.19388335885611e-15
Lmo1	266.110677491662	-3.2034916906558	0.306078217318339	6.81700808606563e-27	6.53059006571953e-26
Tnfaip2	976.159279924459	-3.19368655431265	0.158763923500983	3.28220749093333e-91	1.06360408661177e-89
Plcb1	64.7596964030989	-3.18499574417615	0.667451638992994	5.38543239412468e-08	1.74909402732802e-07
Gpr84	50.77108391673	-3.18151318099351	0.777275201066381	9.70974744433492e-07	2.79825092204768e-06
1810011H11Rik	213.927923116618	-3.16784497116908	0.347673740421184	4.4660143188251e-21	3.39943295355886e-20
Mgl2	437.515368839902	-3.13708578860786	0.2365471633813	2.43023957849634e-41	3.57025575394842e-40
