	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2
Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	-0.028169295955934984	3.9273662698722167	-0.12537322446506355	-0.041289020154926234	0.5655350177487468	-0.11665249943314124	-0.17857814387930349	-0.06327780757859035	-0.42908910185232296	0.17992915001792065	0.0	-0.10662449724842696	-0.16580698825745704	1.4906923008736295	-0.042246909537318154	-0.09377150867705078	-0.0817074908249088	0.8997672567311114	-0.1655666258681782	0.4636092544285647	0.9930872381646266	-0.33599574221923084	-0.6979000082693134	-0.2837713838518856	1.9210251099943025	-0.3079997918622528	-0.382449571308485	0.2669996241561215	0.12836895204974233	0.42382269989490096	-0.02550257237427546	-0.1536716226444218	-0.10118388507027541	-0.07097044820732845	0.5702691494931302	-0.28201989658195925	-0.09516094339270798	0.6610368893677343	-0.15277716143468334	-0.12109500570982294
Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	-0.04169562250518579	-0.09910476606518322	-0.11350622358577926	-0.05104243660943228	-0.07713924715379637	-0.0918135878854599	-0.15304212705941056	-0.06010010985738961	0.14836012768365692	-0.22270884863664	-0.10662449724842696	0.0	0.6187560511308932	0.4533341787137544	-0.0410965794975664	-0.0555980626157316	-0.08824525841777729	-0.20150540540529996	-0.15959283361765056	-0.13613458191742242	-0.27637475244257376	-0.2614490293645643	-0.1483804416582481	-0.17866772099476005	-0.5298203183188281	-0.2826254553129338	-0.2904478628349652	-0.2917849666163023	-0.3058507988675852	-0.3496978644366229	-0.058907279569152676	0.42919104716451245	-0.10406504677460032	-0.07547068886815038	-0.08672258770676378	-0.3097239046718197	-0.1135783227049446	-0.3786483496325953	-0.13903833423725964	0.5828786966427504
MPP3KO_MA1536.1 MPP3KO_Cl17	-0.009961039252769763	1.9414342925313244	-0.08403505075743781	-0.035604037758612386	1.210296808917041	-0.09078944529752891	-0.11597288705103319	0.7046453071138575	0.9348430896390754	0.24038665378692176	-0.16580698825745704	0.6187560511308932	0.0	1.585009413809929	-0.02059021981157156	-0.318740647019115	-0.07253025022333091	-0.22311544617934126	0.33696895618035677	0.4532502502384711	0.9987045849590646	0.8713407624583371	-0.4230389360125481	-0.21106677376621383	2.179725691778173	0.7806916329201928	1.1784614632301051	-0.32361438847202667	0.06061601378061466	3.4022669699474504	-0.027742702900780746	-0.06904660071288239	-0.07218999347281022	-0.058514403931599505	-0.07235572540593986	-0.18709142055527633	-0.1029248571530424	-0.45018918516449785	0.3971820260300173	-0.12791374987582937
MPP3KO_MA0506.1 MPP3KO_Cl14	-0.028612406138657433	6.722570120950957	0.8213208625445917	-0.0416428300177551	9.000518709478468	-0.17288460118558327	-0.2715476288271105	-0.11053121135255368	0.272176966244469	0.5761723641062195	1.4906923008736295	0.4533341787137544	1.585009413809929	0.0	-0.05667032956869363	1.243615816672979	-0.09308195945469934	1.143624736198518	2.3366396888785212	-0.26060583531949144	4.955407136252022	3.25877840929791	4.475677620567651	1.9566381494106622	18.09762928580384	0.34368417459976425	0.8239545610798163	5.416998252534996	4.543640172513819	14.215614045578146	-0.04416593920668246	-0.16171052676686784	0.2830598792860464	0.49401912442159956	-0.19104942410668055	-0.3140106821254066	-0.1385425312563603	0.6292035327615951	-0.23984727767242203	0.23306400190477933
Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	-0.07634746007339255	-0.051188712116669435	-0.04555465500744378	-0.046493002560506	-0.03240107038206893	-0.08290632592068081	-0.09341847700964573	-0.02243051616169606	-0.36493840859203236	-0.09499417429595806	-0.042246909537318154	-0.0410965794975664	-0.02059021981157156	-0.05667032956869363	0.0	-0.015053959148548532	-0.34041711231401767	-0.07526529882252239	-0.06574154127029422	-0.04168068413432855	-0.11618658587589117	-0.08789678558384542	-0.22130001206807454	-0.052764346377443594	-0.24532595378082592	-0.10068723704177232	-0.11736485128123957	-0.06836724554665996	-0.09023281373067416	-0.1391300467682536	-0.24621118427454855	-0.3502559377057852	-0.040149065818886776	-0.02000168184289439	-0.10513039383661459	-0.46574899739179293	-0.09926503525695926	-0.21740822689813635	-0.04287501066099593	-0.05542935309986807
MPP3KO_MA0067.1 MPP3KO_Cl23	-0.014216218591409313	0.5025320385544306	-0.04396940509190253	-0.014216218591409317	0.4959046503178454	-0.05470867427123166	-0.07377216414694727	-0.04611215864647519	0.17620148588328932	1.0341021413341847	-0.09377150867705078	-0.0555980626157316	-0.318740647019115	1.243615816672979	-0.015053959148548532	0.0	-0.03098860917170101	0.51470604714938	-0.1718757649269695	-0.10754242468796818	-0.32488227494504923	-0.30600838009975506	0.9151031253517476	0.5118245039248964	0.11679513947285282	0.7794907219351305	-0.27873589225526496	0.31404484599385196	0.8306432419442779	1.1190911140169661	-0.010736222964315595	-0.05310101780103468	-0.055429353099868024	0.7688558736703892	-0.04014906581888679	-0.16663549220283605	-0.0756566451210495	-0.23177745301060332	-0.08182438160383804	0.6074243503059619
Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	-0.055186911061011146	-0.07432225016187041	-0.11275478493338487	-0.06232027659858881	-0.044037069147458585	-0.11099429716092524	-0.11808920577827997	-0.05165253992633144	-0.5486505389573023	-0.16287026433611293	-0.0817074908249088	-0.08824525841777729	-0.07253025022333091	-0.09308195945469934	-0.34041711231401767	-0.03098860917170101	0.0	-0.14254870173908532	-0.12089333358642343	-0.09035777329298998	0.4706597451242457	-0.13635878679004282	-0.5224029232442882	-0.08188388349455086	-0.3515760370466226	-0.12968502716759067	-0.1697577387520059	-0.148126959904047	-0.18458948511922427	-0.23198733733318103	-0.18224558873656502	-0.3501834591734849	-0.053352293296630625	-0.04843645696621149	-0.12741585712758158	-0.6457957550459188	-0.1132506559670192	-0.41798301383806397	-0.11366121340310946	-0.07132486697286836
MPP3KO_MA1616.1 MPP3KO_Cl3	-0.05350115866598189	0.07038436456599294	-0.13707412751036221	-0.044826426646494694	0.34260460876605164	-0.13884947922116858	-0.21630147818258091	-0.0828792818948643	-0.19823303345719956	0.8273160857095788	0.8997672567311114	-0.20150540540529996	-0.22311544617934126	1.143624736198518	-0.07526529882252239	0.51470604714938	-0.14254870173908532	0.0	0.5842877100624185	-0.35782752580752336	-0.2719589737559735	0.4359150345590433	-0.07128837563589854	0.15824746830958444	1.4218430443312677	-0.41784101402732415	0.3200860868458318	0.483202148246144	0.1760212528176908	0.7387391937543619	-0.06520202880963888	-0.20132743214190685	-0.12417262035643101	-0.11689709662009258	-0.16862794164159206	-0.20654505510782598	-0.18481671647458459	0.11564916560156085	-0.2251077609405964	-0.20374201437367354
Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	-0.047099989622851106	0.21010002460863345	1.0789796393106412	-0.06704654707660704	0.16200590640978899	-0.15489678133516457	-0.23158314112398687	-0.07487732355600094	0.4865977851317867	0.03332103159827676	-0.1655666258681782	-0.15959283361765056	0.33696895618035677	2.3366396888785212	-0.06574154127029422	-0.1718757649269695	-0.12089333358642343	0.5842877100624185	0.0	-0.2515068222058025	1.1859698476804688	-0.2889781751644102	-0.5459816700709608	0.18466167695244157	3.1884323985918694	-0.3616908374368915	0.44579318643434146	0.4368144882191018	-0.5686605449121135	2.491518284888739	-0.06173364083079088	-0.180893911514032	-0.17340358569175787	-0.13294767489975395	-0.14216763243997277	0.41085205248108936	-0.1441814390296116	-0.5129850925354708	-0.16864722145564257	-0.1510253356246832
MPP3KO_Cluster_2 MPP3KO_Cl2	-0.04360128007377599	-0.14504041976552745	0.5524528845370984	-0.05004355151635661	-0.10622036921686803	-0.09477958263372495	-0.17375278315835124	-0.07475859364303793	-0.5967821023859001	1.1332182465190552	0.4636092544285647	-0.13613458191742242	0.4532502502384711	-0.26060583531949144	-0.04168068413432855	-0.10754242468796818	-0.09035777329298998	-0.35782752580752336	-0.2515068222058025	0.0	0.5051056807723703	-0.3857356225712174	0.9510110973005308	-0.24243749783144386	0.374084161335874	0.7134928478664508	0.5747046450165235	1.0253483738313867	-0.44317580157747727	-0.1876408642589519	-0.05548347168349243	-0.12452253230296473	-0.09174602187526426	0.5450037016507677	-0.1024435677177621	-0.09737669053926415	-0.15708322448041037	-0.5069562944088908	-0.21542530166873092	0.5225653706861066
Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	-0.06254672827183909	4.733420907059907	0.36948785218872676	0.632229407106186	1.2137905956682817	-0.22121456591563846	1.110115155640669	0.33822565623829903	1.1831700276536559	2.56529060047883	0.9930872381646266	-0.27637475244257376	0.9987045849590646	4.955407136252022	-0.11618658587589117	-0.32488227494504923	0.4706597451242457	-0.2719589737559735	1.1859698476804688	0.5051056807723703	0.0	3.4849131849993493	3.2977377509739774	1.4928191790285643	6.225461860181491	3.672860715976214	2.0800920234623232	4.35087432336634	1.1218022683877003	7.444486629440018	-0.07847058494296118	0.33590271136488387	-0.22473324499953434	1.138044236272292	-0.18515601492623776	1.6279267629428609	0.8361188959955644	-0.563280410252646	-0.3474649824554149	0.2125300131060064
Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	-0.04709548731971998	1.7846699062315896	-0.19419065792022316	-0.05737036322501891	1.6916892265661367	0.3714617864628284	-0.3211825732295913	-0.18256909352991194	-0.4023773543958492	1.5084884605463325	-0.33599574221923084	-0.2614490293645643	0.8713407624583371	3.25877840929791	-0.08789678558384542	-0.30600838009975506	-0.13635878679004282	0.4359150345590433	-0.2889781751644102	-0.3857356225712174	3.4849131849993493	0.0	2.1397174742922496	1.79321211389447	5.535702648053803	-0.33524155706792363	-0.032245534577503815	2.449149016031788	-0.017210208169474245	4.321006616910532	-0.04397374696199375	-0.1994573785105258	-0.17851313747647707	0.9617144543349234	-0.20198983033061133	-0.3135271268033178	1.9484599493633687	-0.7862251845968853	0.17558730409482803	-0.3009225953827857
Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	-0.19621156888525837	3.682927826302086	0.3412136188590707	-0.24219143251675979	1.8393712244327438	-0.06000509576796033	-0.6667651023133024	-0.435197119371389	-0.6188770245181712	0.0883445723637815	-0.6979000082693134	-0.1483804416582481	-0.4230389360125481	4.475677620567651	-0.22130001206807454	0.9151031253517476	-0.5224029232442882	-0.07128837563589854	-0.5459816700709608	0.9510110973005308	3.2977377509739774	2.1397174742922496	0.0	-0.14565059312061254	5.029441845242751	-0.8230914402925671	1.1278903856058387	2.059483549444417	1.3621534723968773	4.3794879945417735	1.9729990170873541	-0.14572516543894834	-0.06554436775834942	0.06576123298636963	0.013961728101720236	-0.6659157747269541	-0.3470274796338952	-1.4557785383027617	-0.5881523204669561	-0.22138405667775635
MPP3WT_MA0739.1 MPP3WT_Cl7	-0.03302833994110106	0.5552413037731394	-0.20486471476504042	-0.05940977195832683	1.5244855019322372	-0.11151665162733847	-0.24720939442427234	-0.11001903705075003	-0.18060763686503709	-0.32226763316584506	-0.2837713838518856	-0.17866772099476005	-0.21106677376621383	1.9566381494106622	-0.052764346377443594	0.5118245039248964	-0.08188388349455086	0.15824746830958444	0.18466167695244157	-0.24243749783144386	1.4928191790285643	1.79321211389447	-0.14565059312061254	0.0	3.956547551599839	1.8199705633661458	1.4992044174106995	0.4269296875263527	-0.38501774156704255	5.189028380692603	-0.04046668185347837	-0.14380598014515714	-0.10947433035639169	-0.10662449724842687	-0.11444962455462976	-0.24629962311716377	-0.15953407451177898	-0.5358884430928282	-0.19949390415551393	-0.2426559971750269
Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	-0.13939236320853274	16.90621341728726	-0.18527579861910565	-0.2134598501363254	4.308325488152512	-0.058697457467291644	0.4697599053601862	-0.41395777348643875	1.2574903498483672	2.211407354939555	1.9210251099943025	-0.5298203183188281	2.179725691778173	18.09762928580384	-0.24532595378082592	0.11679513947285282	-0.3515760370466226	1.4218430443312677	3.1884323985918694	0.374084161335874	6.225461860181491	5.535702648053803	5.029441845242751	3.956547551599839	0.0	5.0199558049562025	2.542372134868243	6.704974247060282	5.847813591151755	9.394205962256901	-0.17482311373085838	-0.08335423528862396	-0.09507137702412624	-0.0016486835753514297	-0.5424162580347203	-0.12787894006077952	0.19593092269751758	0.0007066282703827761	-0.4473272652919815	-0.4507608699645306
MPP3WT_Cluster_5 MPP3WT_Cl5	-0.06328248681795978	0.25788287235045415	-0.19238626111883816	-0.08320314511312212	-0.2752917393494065	-0.1690816814404846	-0.43376198878583827	-0.14072958408909944	-0.509307866128246	2.6189832348275295	-0.3079997918622528	-0.2826254553129338	0.7806916329201928	0.34368417459976425	-0.10068723704177232	0.7794907219351305	-0.12968502716759067	-0.41784101402732415	-0.3616908374368915	0.7134928478664508	3.672860715976214	-0.33524155706792363	-0.8230914402925671	1.8199705633661458	5.0199558049562025	0.0	2.4547256120358085	2.4952254502311058	0.3752479991286494	4.938438883515945	-0.07764749831107243	1.4755609803291592	-0.15667896334299933	-0.15141277332085742	-0.17669855579525684	2.9390293968182117	-0.2419738243772914	-0.7247719390228028	0.29939400771243346	-0.24052484581567732
MPP3WT_MA0513.1 MPP3WT_Cl6	-0.05546909338239057	2.268339438338008	-0.19807230257560604	-0.07223090673056015	0.7410529908702219	-0.2163218400702648	-0.3258536578211468	-0.2052175189092976	-0.23012444915673422	1.6936880831143961	-0.382449571308485	-0.2904478628349652	1.1784614632301051	0.8239545610798163	-0.11736485128123957	-0.27873589225526496	-0.1697577387520059	0.3200860868458318	0.44579318643434146	0.5747046450165235	2.0800920234623232	-0.032245534577503815	1.1278903856058387	1.4992044174106995	2.542372134868243	2.4547256120358085	0.0	0.6718463824577438	0.07975154110712483	3.5081125354206573	0.6208035486852775	-0.1960174963954948	-0.2102869663828211	1.0257611069838903	-0.20492330178057103	-0.25363345806261955	-0.2624327975979191	-0.14423973042180377	-0.36460077567885585	0.13276968254188207
MPP3WT_MA1581.1 MPP3WT_Cl10	-0.03638216334565065	2.265336664787959	0.48405096669427233	-0.055613677436825784	2.28399725799723	-0.18782342998239998	-0.2961885587774251	-0.1817676699733595	0.16973813436086313	0.3191945084841142	0.2669996241561215	-0.2917849666163023	-0.32361438847202667	5.416998252534996	-0.06836724554665996	0.31404484599385196	-0.148126959904047	0.483202148246144	0.4368144882191018	1.0253483738313867	4.35087432336634	2.449149016031788	2.059483549444417	0.4269296875263527	6.704974247060282	2.4952254502311058	0.6718463824577438	0.0	2.143719684446414	8.65207620502337	-0.04224690953731816	-0.16250442716317845	-0.19312695854535766	0.4925128426880993	-0.1348997743580502	-0.3406908142647385	1.0220657484945121	-0.7226930341197685	0.18943392134586273	-0.2636585160568974
