MPP3_KO1	MPP3_KO2	MPP3_KO3	MPP3_KO4	MPP3_WT1	MPP3_WT2	MPP3_WT3	MPP3_WT4	MPP4_KO1	MPP4_KO2	MPP4_KO3	MPP4_KO4	MPP4_WT1	MPP4_WT2	MPP4_WT3	MPP4_WT4
Dhrs11	1550.3	1141.1	1575	1376.9	1297.4	1341.1	1303.8	1369.6	1515.5	1300	1773.3	1472.5	1290.5	1623.1	1874.3	1672.8
Polr3b	1795	1528.9	1602.6	1635	1817.9	1770.8	1539.6	1817.4	2182.7	1862.7	2074.4	1638.1	1890.2	2010.1	1770	1504.1
Ifit1	579.6	756.7	1275	810.3	443.8	661.4	393.6	746	482.7	581.8	1298.5	533.2	577.9	703	366	728.6
Pkd2	269.2	196.3	222.8	230.1	173.5	205	124	174	267.3	297.6	303.7	276	128.8	151.9	194.8	167
Caskin2	88.2	116.6	128.5	236.4	282	310.3	116.2	149.6	247.6	333.2	281.2	311.5	552	495.6	513.8	521.2
Sec22a	1532.4	1538.5	1278.8	1293	1253.8	1280.7	1764.1	1297.1	1352.9	1127.2	1468.3	1294.1	1155	1114.2	1404.7	1204.5
Diaph2	298.2	272.5	302.8	247.2	127.7	250	320.7	262	448.6	344.7	222.8	284.8	174	176.1	274.9	244.3
Snx2	6352.9	5840.9	6403.6	5720.5	5725	5514.6	6868.2	5600.7	6801.8	6274.5	6456.6	6816.5	6626.5	6374.1	5857.5	6666.9
Uaca	166	116.6	204.7	222.9	135.2	439.5	132.6	176.8	602.9	385	392.6	313.4	351.3	414.8	405	344.1
Gbx2	154.7	105.9	140.9	191.3	226.7	179.7	163.8	171.3	55.9	34.6	107.4	52.2	131.3	92.8	66.2	64.6
Kdelc2	958.5	1062.5	823.7	786.8	513	952.1	706.5	829.4	686.8	747.9	773.3	707.7	560.4	563.1	784.3	721
Pcnxl4	702.4	898.3	884.6	697.5	765.2	917	803.6	696.1	692	563.6	584.9	912.7	580.4	642.7	652	520.4
Mad2l1bp	1288.6	1412.3	1232.2	1350.7	1379.4	1230.1	1388.7	1251.8	1506.2	1574.6	1253.4	1502.1	1361.6	1082.8	1275.3	1278.3
Hmgxb4	1854.1	1633.7	1618.8	1625	2025.4	1637.4	1659.2	2158.2	1845	1769.5	2071.7	2076.7	2087.6	2018.6	1989.7	1844.9
Zfp395	981.9	903.1	794.1	827.4	933.4	1112.2	764.6	900.1	1097	1369.1	870.1	697.8	1090.6	958.6	1320.1	1280
Ice1	643.4	717.5	574.2	450.2	526.8	657.2	406.6	556.5	531.4	574.2	676.4	611.1	725.1	543.8	643.2	495.2
Zfp418	243.8	228.4	180.9	200.3	158.6	287.9	261.8	198.5	237.2	197.8	171.1	292.7	240	199	125.7	167
Morc2a	1337.4	1445.7	1179.8	1007.9	1040.9	1438	1513.5	1245.4	1634.7	1207.8	1413.9	1095	1319.8	1475.9	1644.3	1419.3
Rsrc1	3074.2	2937.7	3314.6	3254.6	2855.6	2836.6	3369.5	3146.2	3258	3123.3	2727	3443.7	2875.4	3234.1	2885	3338.1
Hdx	81.6	117.8	49.5	118.2	121.3	105.3	121.4	68	35.2	28.8	26.5	64.1	61.9	18.1	35.3	22.7
A230046K03Rik	2388.7	2314.2	2492.9	2557.1	2295.7	2742.5	2350.9	2278.7	2875.7	1879.9	2520	3519.6	2867.9	3569.3	2806.4	2351
Ccpg1	301	236.8	278	252.6	323.6	223.3	360.6	272.8	256.9	147.9	267.9	291.7	207.4	262.9	247	240.9
Atp5h	8030.7	7856.5	7754.8	7684.8	7604.6	7701	8010.7	7669.2	8512.1	8394.4	8032.3	7247.2	7749.7	7274.8	7348.9	7546.6
Daam1	217.6	234.4	435.2	327.5	450.2	459.2	296.5	201.2	127.4	125.8	246.7	227.7	281.9	214.6	156.6	191.4
Papd7	180.1	267.7	221.9	176.8	211.8	266.8	208.9	146.8	238.3	245.8	299.8	273	210.8	264.1	158	196.4
Hid1	143.5	64.3	165.7	109.2	345.9	179.7	141.3	143.2	54.9	50.9	87.5	182.3	105.4	314.7	115.4	122.5
8430429K09Rik	353.6	427.2	405.6	332	333.1	335.6	400.5	452.3	371.9	382.1	230.8	293.7	355.5	283.4	485.1	342.5
Myo5a	1578.4	1111.3	1187.4	1475.2	1340	1596.7	1611.5	1170.2	1616	1158.9	1602.2	1749.5	1894.4	1694.2	1681	1485.6
Ppp1r18	2954.2	3144.7	2607.1	2397.4	3581.4	2989.7	3011.5	2878.8	4349.8	4484.8	5339.8	4379.1	5182.1	5323.8	5307	6068.5
2700049A03Rik	2512.5	1794.3	1634.9	2373.9	2138.2	1558.7	2351.8	2211.6	1917.5	1818.5	1809.1	2436.4	2454.7	2081.3	2446.2	1855
Mon2	444.5	351	599.9	547.7	480	424.1	728.2	533.9	694.1	462.8	502.7	630.8	531.9	510.1	419.7	414.6
Zcchc11	1294.2	1371.9	1020.8	1290.3	1271.9	1275.1	1515.3	1050.5	1473.1	1235.7	1265.3	1813.5	1748	1216.7	1143	1308.5
Chst11	588	449.8	533.2	400.6	503.4	469	488	533.9	354.3	514.6	541.1	231.6	454.1	338.8	302.1	592.6
Ppm1h	1419.9	1442.1	1365.5	1462.6	1183.5	1366.4	1270	1269.9	1166.4	1305.8	947	1255.7	1190.1	1353	1218.7	1195.2
Pik3ip1	6062.2	6084.8	6803.5	5699.8	5423.8	5928.8	5933.7	5556.3	4546.6	4552.9	5524.2	5167.6	5116.9	5966.5	6633	5745.3
Ssh3	1339.2	1370.7	1234.1	1123.4	1812.5	1416.9	1425.1	1162	860.8	1278.9	1240.1	1274.4	1334.8	1498.9	1598	1431.1
Mtrr	953.8	950.7	930.3	1129.7	1043	879.1	924.9	982.6	818.4	1151.2	1065.1	1211.3	1028.7	1215.5	1120.2	1123.9
Tmem5	2299.6	1925.2	1860.6	2030.2	1842.3	2210.3	2293.7	2043.1	1828.4	1903.9	1909.9	1878.6	1771.4	1712.3	1872.1	1923.8
Gpatch8	3203.7	3209	3245.1	3650.7	3565.5	3644.1	3431.9	3524.1	3450.6	2149.7	3252.2	3554.1	3882.4	3758.6	3120.2	3085.4
Ly6d	205.4	195.1	103.8	217.5	242.7	202.2	299.9	357.1	935.4	1283.7	452.3	567.7	258.4	665.6	432.2	542.2
Zyg11b	1187.3	646.1	863.7	899.6	1184.6	1356.5	882.5	901	846.3	1037.9	1016	1084.2	1119.1	1299.9	951.9	842.7
Setmar	454.9	335.5	275.2	314	358.7	410	396.2	305.5	353.2	271.7	241.4	339.1	202.4	237.6	282.3	403.7
Tiparp	1441.5	1528.9	1647.3	1466.2	1066.5	1112.2	1464.1	1182.9	910.6	907.3	1022.6	1046.7	1058	846.5	1340	1029.9
Ankrd12	1804.4	1602.7	1953	2664.5	1851.9	2102.2	2206.2	2012.2	1621.2	1174.2	1648.6	1935.7	1620.9	1732.8	1617.8	1348.8
Cd300a	2717.9	2711.6	3342.3	2796.2	2473.5	2443.4	2744.5	2528.9	1850.1	1894.3	2539.9	2122	1980.5	2136.8	2444	2200.8
Ythdc2	464.2	360.5	644.6	585.6	204.3	570.1	616.3	654.4	664	352.4	679.1	415.9	363.8	443.7	474.8	517
Cacna1a	332	310.5	309.5	219.3	175.6	172.7	190.7	266.5	372.9	322.6	408.5	249.4	169.8	162.8	359.4	333.2
Tmem109	2062.3	2058.4	1931.1	1860.5	2404.3	2213.1	1843	1784.7	3784.2	4414.7	3943.2	3315.6	3677.5	3916.6	3364.3	3512.7
Bmp2k	586.2	412.9	432.3	525.1	354.4	348.3	513.2	477.7	448.6	461.8	327.6	563.8	430.7	283.4	297.7	359.2
Itga2b	2683.2	2993.6	3626	4524.1	3734.7	3725.5	3717.1	3915.7	219.6	514.6	409.8	702.7	393.1	459.4	494.7	436.5
Xpot	4129.3	4636.8	4103.1	4571	4391.4	4360.3	3795.1	4548.4	4074.3	4021	4008.2	3822.2	4157.5	4193.9	3692.1	4542.6
Pbx2	381.7	443.8	356.1	476.4	544.9	373.5	593.8	421.5	617.4	572.2	405.9	539.1	617.2	404	449.8	391.1
Tdg	3192.4	3295.9	2810	2853.9	2522.4	2832.4	2923.9	3116.2	2769	3098.3	2634.1	2864.2	2801	2785.5	3013.7	2800.1
Dbn1	144.4	292.7	269.5	99.3	163.9	161.5	143.9	128.7	143	281.3	184.4	106.4	127.1	194.1	138.9	158.6
Rnps1	7971.7	8872.6	8045.2	8015.9	7742.9	7477.7	8353.1	8693.4	8491.4	8754.5	7586.7	8233.8	7791.5	8169.6	8215.5	8840.9
Gns	1576.5	1600.3	1352.1	1447.3	1309.1	2015.1	1299.4	1728.5	1381.9	1376.8	1502.7	1171.9	1620.9	1542.3	1481.8	1358.9
Grn	6122.2	6903.5	7816.7	7098.3	7788.7	6827.6	6576.9	6951.3	5059.4	5542.8	6666.2	5521.4	6234.2	5657.8	5859.7	5584.2
Ppp1r21	394.8	475.9	871.3	809.4	646	688.1	640.6	705.2	637.1	651	436.4	564.8	506.8	432.9	555	476.8
Ttyh2	397.6	421.2	375.2	439.4	473.6	372.1	357.1	368.9	307.7	425.3	477.5	249.4	248.4	272.5	256.5	428.9
Tmx4	2392.4	2452.3	2427.2	2549.9	2319.2	2995.3	2271.2	2194.4	2033.5	1349.9	2238.9	1843.1	2305	2025.8	2115.4	1843.2
Cnot6l	4632	4639.2	3452.7	3745.4	3035.4	3113.3	4818	4716.1	5525.6	4450.2	4170	3833	4237.8	3352.2	4473.4	4425.9
Mrps10	3558.2	3562.4	4014.5	3657.9	3177	3280.4	3600.1	4032.6	4383	4478.1	4370.3	3872.5	3459.2	3853.9	3692.8	3472.4
Nagk	1099.2	991.1	1411.2	1603.4	1557.1	1436.6	1186.7	971.7	997.6	1015.8	1135.3	1502.1	1229.4	1178.1	1124.6	1181.8
Sirt6	777.5	844.8	791.3	852.7	850.4	792	676.2	674.4	641.2	975.5	884.7	686	717.6	922.5	708.6	845.2
Mast4	427.7	330.8	241.9	390.7	502.4	542	444.7	371.6	473.4	236.2	363.4	413	572.9	561.9	456.5	448.2
Tmub2	2270.5	2277.4	2402.4	2299.9	2428.8	2538.9	2847.7	2439.2	1977.6	2072	2348.9	2584.3	2419.6	2487.7	2624.1	2614.6
Tle6	1260.5	1415.9	1140.7	1377.8	1266.5	1216.1	1094	1521	419.5	742.2	602.2	625.9	388.1	536.6	523.3	379.4
Map4k5	794.4	856.7	732.2	697.5	485.3	533.6	611.1	799.5	842.2	909.2	997.4	564.8	553.7	881.5	1165	1083.6
Dusp5	875.9	1003	765.6	496.3	174.5	704.9	1022	907.3	1972.4	1969.2	2565.1	1040.8	503.5	1143.1	2785.8	2450.9
Tle2	464.2	418.8	342.8	313.1	466.2	987.2	469	419.7	340.8	561.7	428.4	370.6	527.7	533	558.6	580.8
BC030867	946.3	1098.2	1054.1	1087.3	1312.3	1213.3	889.4	1362.3	1240	1526.6	1175.1	1364.1	1104	1297.5	1218	1484
Gna11	1551.2	1475.4	1311.2	1801	1468.8	1122	1404.3	1333.3	1833.6	2016.3	1527.9	1741.6	1596.6	1475.9	1814.8	1355.5
Gpsm3	3589.1	3349.4	3695.5	3352	3903.9	3691.8	3271.6	3442.6	3301.5	4115.1	3545.3	3393.5	3224.2	3253.4	3599.5	4122.9
Rab24	3546.9	2764	4085	2741.2	1173.9	2940.5	3238.6	3341	3827.7	3678.3	4883.6	2760.7	1353.2	3056.8	4262.5	3584.9
Gna15	3125.8	4310.8	4435.4	4588.1	4568.1	3308.5	3251.6	3026.5	3199.9	4376.3	3883.5	4719.1	3345.4	3715.2	3773	3491.7
G6pc3	5223.8	6034.9	5691.4	5251.3	4896.9	4971.1	4582.3	6032.2	3886.8	4231.3	3976.4	3276.2	3250.1	3343.8	3329	3537.9
Ccdc122	483.9	437.9	261.9	194	159.6	228.9	430.8	349	526.2	425.3	351.5	269.1	158.9	261.7	427.8	364.3
Unc13a	79.7	182	109.5	153.4	160.7	112.3	163	107	147.1	228.5	141.9	169.5	314.5	203.8	228.6	167
Zfp661	287.9	475.9	376.1	368.1	406.6	271	184.6	305.5	241.4	376.4	193.6	449.4	212.4	397.9	517.5	339.1
Sos2	668.7	454.5	425.6	556.7	523.6	616.5	671	690.7	582.2	377.3	509.3	622.9	580.4	461.8	573.3	569.9
Colgalt1	4488.5	4881.9	4814.4	4491.6	4298.8	4288.6	4338.7	5216.4	4272.1	5020.5	5721.8	3748.3	4533.9	4710	5688.5	5728.6
Cpsf7	2444	2125.1	1995.8	2012.1	2915.2	2310	2767.9	2349.4	2946.1	2542.4	2359.6	2417.7	2872.9	2298.3	2655	2737.1
Nup54	2729.1	2665.2	2705.2	2501.1	2571.4	2314.2	2592.8	2931.3	2934.8	2347.5	2388.7	2494.6	2152	2620.3	2225	2419
Tet3	1101	834.1	847.5	1310.1	1226.1	1181	1227.5	1004.3	1767.3	1252	1066.4	1312.8	1122.4	1190.2	962.2	1092
Tespa1	6490.8	5249.6	5699.9	6082.3	5362.1	5650.8	7573.8	5810.1	5797	4964.8	4513.5	6354.2	4982.2	5891.7	6334.6	5151.9
Plvap	252.3	227.3	208.5	234.6	113.9	189.6	108.4	186.7	152.3	169.9	141.9	95.6	54.4	225.5	116.1	115
Ttc21b	567.4	656.8	828.4	786.8	938.7	789.2	696.1	693.4	512.8	430.1	550.4	777.6	869	1010.5	794.6	616.9
Tmem127	1156.4	1389.7	1151.2	1532.1	1747.6	1419.7	1191.1	1237.3	1213.1	1405.6	1350.2	945.2	1477	1652	1469.3	1308.5
Acot11	249.5	310.5	251.4	326.6	284.2	346.9	255.7	163.2	182.3	98.9	287.8	253.3	231.7	293	308	168.7
Mfsd12	913.5	995.9	658.9	883.3	1500.7	1687.9	856.5	718.8	730.3	1148.3	1009.3	952.1	1533.9	1217.9	1259.9	1290.9
Fam214a	605.8	765.1	847.5	882.4	1050.5	776.6	774.1	1260.8	986.2	774.8	1464.3	1022.1	952.6	1115.4	1423.8	995.5
Ankrd27	4242.8	4459.5	5078.1	5112.4	5773.9	5521.6	4489.5	4755.9	2471.7	2260.1	3548	3218	2871.2	3094.2	2804.9	2967.9
Myl12b	29431.4	31077.5	32367.5	31872.5	32352.2	28071.4	32349.7	33396.8	18886.8	21701.9	21287.8	22239.4	23296	21538.7	22510.6	24224.5
Nudt19	3392.2	4024	3308.9	3157.1	3302.6	3142.8	2977.7	3433.5	2914	3625.5	3789.4	3435.8	3408.2	3035.1	3330.5	3537.9
Mrpl34	3576	3787.3	3564.1	3629.9	3851.8	3573.9	3405.9	3566.7	3605	4212.1	3831.8	4156.3	3935.1	3644.1	3536.3	3977.7
Tbxa2r	815	659.2	485.6	409.6	671.6	740.1	637.1	698.8	2515.2	2820.9	2337	1682.4	2765	2405.7	3186.4	2733.8
Lrr1	507.4	671.1	465.6	670.4	461.9	440.9	607.7	486.7	787.3	650	551.8	718.5	654.9	524.5	600.5	478.4
Cactin	2827.6	3239.9	3130.9	3140	3577.2	3433.4	3289.8	3516.9	3135.7	3512.2	4009.5	3363.9	3583	4177	4334.5	3963.4
Rps29	14821.7	17955.9	17036.9	17170.6	15059.1	13544.2	14911	16306.4	16441	19781.6	18599.3	17671	16537.4	15354	15183.7	16407.6
Cog3	1341.1	1245.8	1042.7	1179.3	747.2	1321.4	1373.1	1585.3	782.1	962.1	1306.4	992.5	1089.8	1322.8	1414.9	1327.9
Pip5k1c	2347.4	2263.1	2329.1	2185.3	3397.3	2890	2645.7	2765.5	3152.3	3009.1	3329.1	2382.2	2873.7	3241.3	3672.3	3886.2
Cobll1	1028.8	624.7	582.8	536	473.6	634.7	656.2	961.7	805.9	890	1090.3	958	1012	1123.8	1670	1207
Ncaph	3044.2	3117.4	3761.2	3829.3	3885.8	3874.4	3422.4	3619.3	4026.6	4546.2	4156.7	4663.9	4285.5	4952.4	4210.3	4514
Sidt2	1353.3	1355.2	1528.3	1160.3	954.7	1039.2	992.6	1273.5	1811.8	2006.7	1846.3	1580.9	1494.6	1425.3	1762.6	1957.4
Tjp3	820.6	881.7	618	719.1	1168.6	1039.2	796.6	640.8	689.9	571.3	846.2	690.9	1134.1	766.9	957.8	890.5
Dhcr24	124.7	165.4	213.3	130.8	175.6	217.7	177.7	141.4	97.4	226.6	107.4	186.3	109.6	153.1	140.4	136.8
Rnf44	2574.4	3093.6	2476.7	2637.4	2604.4	3083.8	2545.1	2848.9	3004.2	2746	2760.1	2597.1	2541.7	2863.9	3447.3	3411.1
Rtkn	110.7	167.8	83.8	76.7	127.7	136.2	45.9	126	97.4	87.4	79.6	52.2	133	160.4	90.4	117.5
Dhx8	2385.9	2071.5	2489.1	2175.4	2485.2	1929.5	1790.1	2394.7	2249	2182.4	2374.1	2372.4	2016.5	2861.5	2230.8	2298.1
Mrpl54	3450.3	3839.6	3601.3	3304.2	3403.7	3354.8	3738.8	3660.1	3831.9	4146.8	3880.9	3281.1	3603	3624.8	3473.1	3654.5
Synrg	408	364.1	328.5	467.4	499.2	365.1	366.7	480.4	453.7	416.7	379.3	479	383.1	583.6	510.9	307.2
Tmem106a	373.3	284.4	346.6	236.4	226.7	191	254	265.6	289	193.9	152.5	242.5	227.5	172.4	300.6	202.3
Zfr2	38.5	42.8	16.2	15.3	59.6	99.7	3.5	87.9	23.8	124.8	140.6	16.8	59.4	86.8	126.4	73
Cog7	1685.3	1696.7	1737.8	1685.5	1693.3	1650	1663.5	1743	1571.5	1785.8	1643.3	1592.7	2010.6	1817.2	1748.7	1878.5
Cebpa	959.4	1206.5	1214.1	841.8	469.4	655.8	431.7	994.3	1073.2	1091.7	1390	601.2	357.1	464.2	604.9	1092
5031414D18Rik	374.2	305.8	264.7	201.2	382.1	334.2	437.8	401.5	855.7	854.5	768	856.5	922.5	605.3	732.8	726.9
Dopey1	513	332	391.4	570.2	435.3	435.3	498.4	384.3	505.5	280.4	408.5	422.8	490.1	534.2	430.7	470.9
Dapk3	1127.3	910.2	1098.8	554.9	88.3	411.5	579.9	1188.3	930.3	1642.8	1712.3	708.7	92	325.6	1152.5	1332
Parm1	104.1	91.6	36.2	166	321.4	223.3	121.4	73.4	20.7	0	9.3	14.8	41	82	36.8	47.8
Hrh2	300.1	420	474.2	331.1	281	484.5	348.5	327.2	324.2	583.8	596.9	407.1	388.1	520.9	562.3	583.3
Vat1	3304	3914.6	3225.1	2770.9	2587.4	3912.3	2781.8	3884.9	1852.2	2176.6	1923.2	1320.7	1277.1	1981.2	2465.3	3251.6
Eef2	38775.1	43581.5	40220.4	41724.6	45994.7	36358	39072.2	40694.3	49288.9	58102.4	45205.6	45394.3	49813.6	40411.4	42297.8	46314.4
Foxn2	1252	1326.7	1201.7	1590.7	1134.6	1204.9	1270	1412.2	1369.5	1323.1	1083.6	1224.1	1187.6	1379.5	1087.9	1230.5
Dpp4	2845.4	3210.2	2839.5	2869.3	2305.3	2551.6	2735	2815.3	3083.9	2582.8	3338.4	3622.1	2893.8	3135.2	3096.7	2805.1
Igsf6	884.4	2238.1	3372.7	3408	1569.9	1438	751.6	1261.7	138.8	230.4	346.2	183.3	143.9	85.6	125.7	136.8
Rundc1	909.7	1079.2	1192.2	1384.1	1332.5	1209.1	923.2	1077.7	1205.8	871.8	1376.7	1238.9	1466.1	1545.9	954.1	1322.8
Zbtb7a	2292.1	2053.7	1639.7	1950.8	2407.5	2492.6	2123	2007.7	2127.8	2863.1	2138.1	2265.9	2655.4	2494.9	2760.8	2808.5
Baz1a	2559.4	3097.2	3143.2	4157.8	2306.4	2355	3062.6	2633.1	2244.8	2407.1	1972.3	3051.5	2229.7	2275.4	1616.3	1624.1
Ncapd3	3241.2	2848.5	3304.2	3640.7	4590.4	4080.8	3800.3	3906.6	3610.2	2832.4	3314.5	3865.6	4111.5	4049.2	4086.8	3538.7
Map2k2	4242.8	4577.3	4710.6	5060	4607.5	4983.8	4266.7	4152.3	4678.2	5533.2	5398.2	4796	4564	5252.6	5259.2	5392
Creb3l3	76	98.8	156.2	91.1	55.3	105.3	50.3	47.1	62.2	62.4	110.1	71.9	41.8	53.1	39	40.3
Ccl5	312.3	577.1	496.1	601.8	292.7	258.4	301.7	473.1	185.4	211.2	399.2	300.6	208.3	183.3	228.6	159.5
Zc3h12b	108.8	76.1	76.2	97.4	165	119.4	130	50.8	51.8	58.6	173.8	155.7	130.5	95.3	219	101.6
Kri1	571.1	578.3	738.9	868	722.7	1046.2	646.7	632.7	791.4	524.2	649.9	551.9	663.2	703	820.3	568.2
Anapc13	1853.2	2148.9	2236.7	1998.6	1992.4	2051.6	2115.2	2055.7	2006.6	2260.1	2131.4	1900.3	2268.2	1872.7	2000	2424.9
Rrp12	1150.7	1480.2	1696.8	1333.6	1905.1	2272.1	1387.9	1701.3	1237.9	1679.3	1581	1130.5	1794	2006.5	1442.1	1745
Dhx57	932.2	796	722.7	677.6	995.1	740.1	903.3	762.3	895	925.6	947	1040.8	956.8	904.4	987.9	918.2
Zc4h2	981.9	619.9	763.7	749.8	753.5	790.6	771.5	723.3	807	756.6	571.7	679.1	744.4	747.6	608.6	644.6
Eef2k	5025	5587.5	5951.3	5633.9	6690.3	6754.5	5567.9	5779.3	6708.6	7249	7714	6812.6	7891.1	7987.5	7648.8	8325.5
Oma1	1549.3	1925.2	2095.8	1964.3	1941.3	2102.2	2003.3	1780.2	1914.4	1737.8	2139.4	2146.7	2115.2	2166.9	2005.9	1904.5
Mtmr9	661.2	748.4	785.6	669.5	825.9	650.2	596.4	847.5	688.9	673.1	663.2	499.7	685.8	672.9	774.7	816.7
1700020L24Rik	141.6	195.1	311.4	316.7	136.2	146	149.1	248.4	99.4	171.9	122	68	71.1	68.7	72	91.5
Becn1	5041.8	5553	5922.7	5637.5	5401.4	4924.8	5311.3	5151.1	4977.6	4979.2	5140.9	6051.7	5518.3	5837.5	4853.5	5183
Secisbp2l	604	484.3	756.1	587.4	734.4	712	609.4	605.5	659.9	693.2	708.3	594.3	663.2	669.2	936.4	843.5
Fam167a	234.5	210.6	119	65	75.6	167.1	147.4	198.5	193.7	391.7	543.8	278.9	329.5	303.9	314.6	505.3
Egln3	756.8	716.3	1021.7	807.5	799.3	675.5	1002.1	751.4	624.7	615.4	844.9	957	1058.8	729.5	705.6	696.7
Gcfc2	415.5	481.9	280.9	173.2	117.1	198	236.7	317.2	343.9	480.1	408.5	196.1	152.2	98.9	309.5	238.4
Arhgap5	400.5	361.7	441.8	499	371.4	380.6	531.4	510.3	384.3	329.3	293.1	577.6	509.3	472.7	527	480.1
Secisbp2	2001.4	1674.1	2093	2039.2	1965.8	2168.2	1927	1901.7	2128.8	1857.9	2057.2	2159.5	1865.9	2342.9	1775.1	1868.4
Nubpl	1064.5	832.9	821.8	762.4	979.2	695.1	792.3	954.5	991.4	1064.8	710.9	957	951.8	785	1043	926.6
Eif2s3x	2237.7	2424.9	3343.2	2990.2	3549.5	3279	2035.4	2307.7	2274.9	2077.7	3217.7	3145.1	3312	3562.1	2288.2	2324.2
Elmod2	737.1	637.8	1044.6	660.5	947.2	908.6	717.8	749.6	536.6	624.1	710.9	569.7	785.3	848.9	654.9	667.3
Ap2b1	2086.7	1540.8	1987.3	1776.6	2958.8	2527.7	1983.4	1966	2137.1	1993.2	2115.5	1804.7	3137.2	2742.1	2059.6	2162.2
Mitf	247.6	141.6	178.1	230.1	246.9	234.5	108.4	173.1	122.2	103.7	122	55.2	235.9	143.5	88.2	78.9
Ints6	531.8	596.1	439	573	497	501.3	442.1	757.8	610.2	506	497.4	581.5	732.7	686.1	740.2	508.6
Tanc1	341.4	315.3	231.4	298.7	378.9	494.3	338.1	201.2	307.7	309.2	393.9	206	271	473.9	391.8	345
1110059E24Rik	3111.8	2615.3	2607.1	2248.5	2090.3	2239.8	2810.4	2400.2	3593.6	2685.5	3155.4	2392.1	3051	2933.8	3076.1	3046
Ccdc186	285.1	368.9	359	356.4	449.1	418.5	427.4	243.8	333.6	254.4	260	322.3	343.7	419.6	388.8	397
Heatr5a	2729.1	2377.3	2364.3	2708.7	3868.8	2925.1	2859.8	3110.8	1686.5	1318.3	1550.5	1673.6	1974.6	1873.9	1737.6	1804.6
Slc24a5	196.9	210.6	112.4	127.2	203.3	184	152.6	165.9	69.4	68.2	58.4	65.1	72.8	71.1	30.9	52
Tubg1	2424.3	3031.7	3496.5	3457.6	3602.7	3176.5	3347.8	3061.9	3194.8	4411.8	4369	4247	4487.1	4175.8	3925.1	3824.9
Arl6ip5	11095.6	11044.1	10507.6	9966.7	9243.6	9228.9	11299.6	10534.3	10317.7	11416	10918.4	10866.4	10473.7	10358.2	11496.7	10695.8
Lars2	7201.7	7500.8	6884.5	7503.4	5596.2	6132.5	7301.6	7071.8	9001.1	9827.9	8883.8	7180.2	6687.5	5861.6	5908.2	6693.8
Epn1	830	1055.4	750.3	905	1350.6	1488.5	658	903.7	1282.5	1436.4	1321	991.5	1656	1478.4	1406.9	1949.8
Sppl2b	1111.3	1063.7	956	721.8	1646.5	1245.6	864.3	1096.8	1419.2	1496.8	1403.3	667.3	1662.7	1449.4	1558.3	1524.3
Slfn8	1891.6	1527.8	1894.9	1636.8	1711.4	1808.7	1370.5	1733.1	1644	1325.9	2204.4	1984	1884.3	2257.3	2023.6	1707.2
Leprot	2777.9	3184	2789	2893.6	2482	2758	2989.8	3254	2679.9	2845.8	2766.7	2723.2	2837.8	2677	3234.2	2842
Lsm7	2614.7	3057.9	2919.5	3027.2	2821.5	2649.9	2491.4	2788.1	2756.6	3168.4	3254.8	2976.5	3083.7	3027.9	2709.4	3094.7
Spcs2	16792.1	17549	18661.4	17703.8	15411.4	15751.7	14089.2	15519.6	15549.1	16865.7	17815.4	16733.7	15408.3	15961.7	13474.7	13887
Pdk3	5031.5	4118	4809.6	4827.3	4798	4287.2	5052.1	4843.9	3098.4	3228.9	2998.9	3131.3	3574.6	3372.7	3147.4	3073.7
Fam175a	1507.1	1696.7	1837.8	1817.2	1726.3	1630.4	1628	1803.8	1885.4	1453.6	1733.5	1762.3	1550.6	1721.9	1883.2	1770.2
Trim13	1424.6	1139.9	1221.7	1208.2	919.6	1098.1	1112.2	1248.1	1223.4	1245.3	878	1137.4	1238.6	968.3	1111.4	1244.8
Scai	1020.4	358.1	612.3	824.7	576.9	820.1	947.5	527.5	647.4	388.9	559.7	779.6	685	564.3	644.6	439.8
Neu3	299.2	183.2	248.5	223.8	426.8	299.1	160.4	378	277.6	290	307.7	195.2	357.1	278.5	268.3	197.2
Oaz1	37904.8	42917.6	41722.9	40221.4	38641.3	34564.7	39020.2	40087.9	43321	48965.8	45481.5	41550.5	40746.6	39076.5	41590.7	44906
Eogt	256	159.4	140	86.6	147.9	110.9	216.7	112.4	156.4	117.1	163.1	104.5	119.6	153.1	160.2	125.9
Pcyt1b	163.2	148.7	204.7	128.1	228.8	150.3	144.8	227.5	135.7	74.9	148.6	52.2	173.1	178.5	261.7	248.4
Hectd1	4587	3438.6	4073.6	4637.8	3842.2	4014.8	4317.9	4094.3	4092.9	4129.5	3513.5	4677.7	4327.3	4354.3	3877.3	4196.7
Zcchc6	3073.3	2821.1	3152.8	3498.2	3425	3670.8	2707.2	3708.1	2597	1952.9	3172.6	2999.2	3018.4	3402.9	3437	2896.6
Helq	687.4	697.2	553.2	602.7	635.4	595.4	973.5	561.1	862.9	681.7	713.6	636.7	716.8	839.3	710.8	723.5
Pkig	2404.6	2821.1	2572.9	2294.5	1877.5	2147.1	2377.8	2680.3	3181.3	3821.3	3075.8	2388.1	2062.5	2060.8	2371.2	2756.4
Hpse	1174.2	1036.4	1109.3	1002.4	795	497.1	556.5	752.3	1466.9	1845.4	1587.6	1185.7	914.1	735.6	1298.8	1237.2
Plekhj1	3846.1	4341.7	3750.8	3736.4	3645.3	4026	3873.2	3909.4	4079.4	4656.6	4520.2	4070.6	4202.7	4238.5	3961.1	4053.2
