baseMean	log2FoldChange	lfcSE	pvalue	padj
Fkbp9	197.482918364521	-3.25981998565756	0.381328534995203	5.97984440694311e-19	4.07195080629545e-18
Csf3r	1930.33517721746	-3.25390446779247	0.113147929086492	4.08009169390369e-183	3.31606162025495e-181
Mgst1	1330.61689753122	-3.25246969580541	0.13721469662826	1.87296515906727e-125	8.57988312412727e-124
Tacstd2	199.696840243586	-3.24393126227046	0.350989803293168	1.21658880186284e-21	9.44590288534183e-21
Pygl	2189.76306293346	-3.24355648484027	0.114405135745456	4.61891410193297e-178	3.63667314994379e-176
Nkg7	6439.55544592796	-3.21304143723996	0.0689928904919745	0	0
Rnf144b	162.56017811533	-3.21116254623784	0.406689642037252	1.40931089432392e-16	8.50481149281223e-16
Lmo1	266.110677491662	-3.2050216738089	0.302634665093861	1.82102472718282e-27	1.7629478578817e-26
Tnfaip2	976.159279924459	-3.19416153872835	0.156727230262293	1.52805174592633e-93	5.04908376899854e-92
Plcb1	64.7596964030989	-3.18929018939401	0.662639859182985	4.42351502855515e-08	1.43529248093299e-07
Gpr84	50.77108391673	-3.18702142877713	0.771802589203982	8.38291596808905e-07	2.41449062950561e-06
1810011H11Rik	213.927923116618	-3.16926182840358	0.34485674290876	2.15673296076281e-21	1.65920265485249e-20
Mgl2	437.515368839902	-3.13805883112289	0.233736141785806	2.69955775700935e-42	4.03651974408609e-41
S100a1	417.062402737423	-3.12196754384373	0.237666899560092	1.31396328460375e-40	1.8703562121803e-39
Rtn4r	93.0534516339697	-3.102565128834	0.51454740396813	7.05706785022732e-11	2.92800040323553e-10
Soat1	2080.41699413662	-3.10155761434873	0.110035016357593	5.95150022142978e-176	4.57856635355491e-174
Nr0b2	69.4693541334694	-3.09562528273795	0.702149983117891	2.81352138205531e-07	8.45398583433315e-07
Gca	473.730055978114	-3.09380833943496	0.254286262433876	3.04681747141341e-35	3.76296893099318e-34
Gpc3	97.9595781849981	-3.09203822517419	0.503324193634784	3.57307628281886e-11	1.51746577236614e-10
Cdc42ep4	737.052230613339	-3.079648446391	0.197377280548664	4.81611790675404e-56	9.31609141348699e-55
Sh3d19	334.905204905008	-3.07357511160441	0.296466050485527	2.21620310857337e-26	2.07188264640096e-25
Pstpip2	147.853364894198	-3.05722777782083	0.406106889760575	2.8094948715407e-15	1.58267687620945e-14
Ifi204	65.2989402174297	-3.0465879687018	0.647249766449742	7.78420549120223e-08	2.46850921775759e-07
Elovl7	175.877075235345	-3.04586604430461	0.384090550644657	1.25028600187991e-16	7.55871765263692e-16
C1galt1c1	1262.40285215764	-3.04506157998869	0.137412179546209	6.21362730277657e-110	2.50483743829529e-108
Fam20c	248.930976220109	-3.02299023653382	0.344936666370522	1.16288075636949e-19	8.16122023864329e-19
Atp8b4	5221.79074128916	-3.00690157715855	0.0712786912964195	0	0
Ppic	435.030028357912	-3.00130870036917	0.252023755585293	7.53563630230776e-34	8.95567719984169e-33
Tmem40	236.261931871888	-2.99905682475644	0.329998608549409	6.44600271363158e-21	4.80849854537225e-20
Frrs1	1727.21746786189	-2.99760608286438	0.12898364039206	1.40188216979033e-120	6.16950589831746e-119
Cd63	2125.04920671249	-2.99286826131088	0.111682577139283	2.71049834867999e-159	1.79713173407874e-157
S1pr2	412.986421588162	-2.98971673948895	0.267341173005009	3.45694793844535e-30	3.67889348718608e-29
Sema6b	205.517605039017	-2.98224241854021	1.09080361834227	9.18733177652971e-05	0.000211247843129971
Rnf217	184.379021954382	-2.98134851178322	0.444711526292046	1.04852739984737e-12	4.95826406489899e-12
Mapkapk3	5647.52244480538	-2.96873702185862	0.0694138126220463	0	0
Tmem38b	584.375175024955	-2.95769069291508	0.199403783719255	6.94248301387896e-51	1.22318782891385e-49
Mcemp1	226.93685805123	-2.95624413487144	0.32405917861474	4.83567608786988e-21	3.63957756635942e-20
Gm14005	100.560270238922	-2.93722331303827	0.51919004773737	6.60068119642455e-10	2.51025151311572e-09
Prss57	3008.01209472233	-2.9329154175675	0.106086293604989	2.57758072774108e-169	1.89612106380836e-167
