baseMean	log2FoldChange	lfcSE	pvalue	padj
Zcchc18	389.745483918849	-1.00798479313141	0.207206157620026	3.9729610330358e-08	1.21180444532182e-06
Akna	2518.16213321825	-1.00220608731392	0.16092078226737	1.90778027600556e-11	9.53700962191887e-10
Klf3	1146.74539823509	-1.0002435290058	0.291215649928424	1.17820296939367e-05	0.000216627848142101
Myl10	4308.4382758855	-0.995381787931986	0.72801898114906	0.0012436985303806	0.0128903979641441
Pld4	1023.27151043854	-0.995128291287338	0.296885040742277	1.50983960883984e-05	0.000272093843400695
Tmem38a	199.581699519787	-0.994084879481619	0.321410056880768	3.12241660142228e-05	0.00051626331591223
Lsp1	15022.0735502342	-0.98726838445213	0.0872558445135104	5.41283131820953e-31	1.4521150200033e-28
Itgax	103.97605040944	-0.985810325896868	0.87594693079654	0.00195348773565186	0.0187623834268793
Hdac11	356.801534705522	-0.979950457772358	0.202534807886156	4.3244163332345e-08	1.31222134697943e-06
Gm27252	105.507618976693	-0.976946498721705	0.505880948567159	0.000433591906116955	0.00517328701259391
Aim1l	151.581240562557	-0.975400469830668	0.474090051266054	0.000337151938892392	0.00417601415182141
Plxnb2	1176.18469582165	-0.962930846206204	0.185488337980352	7.03104741426176e-09	2.42673928882883e-07
Ccser1	179.550270030903	-0.962257939935958	0.397078554789674	0.000158099768044751	0.00218525721545695
Gpr171	10259.1310592191	-0.956707458891145	0.107028147266343	1.58072150697045e-20	1.98498262428502e-18
Emb	21702.4403747735	-0.955959993710327	0.08733979175535	2.94678500637689e-29	7.09874494189241e-27
Aim1	149.025243796775	-0.952427596214141	0.538870013753181	0.000614820074471178	0.00704595743597844
Smox	1214.65925557882	-0.952337336279128	0.122582119359975	3.01265971899298e-16	2.59572520605789e-14
Unc93b1	7375.09151162422	-0.951643339711663	0.129784420594873	8.44174071101991e-15	6.42879402276639e-13
Gsn	1924.26200242245	-0.949296092431611	0.165707986383227	3.47312747262712e-10	1.45329349489798e-08
Tapt1	1008.45468420124	-0.944841794633463	0.216974195159631	3.85190965822692e-07	9.84154580210186e-06
H2-Ob	4521.25477570941	-0.942755956538375	0.170900067650185	1.15660300509975e-09	4.56606751578509e-08
Sdc3	143.100639775332	-0.94215491882208	0.841389782013815	0.00209705634688942	0.0198505638481818
Il18rap	2462.11416482531	-0.942074776059472	0.176914525168532	3.32355380283353e-09	1.21084040397059e-07
Net1	2948.16760731866	-0.941501184887555	0.0968221009192705	9.21473908292031e-24	1.59957029609987e-21
Tcf4	8295.24631371034	-0.931213192527825	0.0921221285174957	1.89811559175864e-25	3.55640578493951e-23
Ldlrad4	844.585213752959	-0.930618038043991	0.211162982897083	3.02691969773928e-07	7.88736426315993e-06
Tmem158	121.124894041819	-0.93003515062455	0.700362326916823	0.00146073304186909	0.0147497800053231
Epb41l4b	946.935545717724	-0.927958276054291	0.236848151610973	2.23372526760238e-06	4.81147683554352e-05
Gm19708	112.612826607681	-0.925834658413808	0.348338731866406	9.52617407284569e-05	0.00138652230278509
Gimap7	675.865419383907	-0.924134964063221	0.412144272813281	0.000240807451864768	0.0031420366261871
Adam2	64.4805913818836	-0.921408822059019	0.615438822419495	0.00107607370917903	0.0113511832557187
E430014B02Rik	283.271666211551	-0.9207187671236	0.505617604965875	0.000573500856897977	0.00664337989678481
Cldn4	93.831914892835	-0.920460038043817	0.698821634153927	0.00151035087893077	0.0151471382964306
Plekha6	89.4959163330714	-0.917943906201561	0.614942711108892	0.00109017284295439	0.0114660890116824
