24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Nom1	2942.2	2926.5	3130.5	2899.5	2592.6	2750.6
Ergic1	4978.3	5078	5242.9	5499.3	3567.1	3708
Acap1	6747.9	7419.7	6030.8	7558.6	6783.8	6300.2
Ifrd1	1501.3	1457.1	1840.4	1742	2159.3	2223.1
Stk38l	304.5	343	284	302.6	612.7	557.9
Brpf1	3771.3	3672.4	3787.6	3685.8	4030.5	4096.6
Akr1b3	3405.5	3337.8	3929.6	3774.9	3901.9	4041.8
Gstt3	117	74	166.1	96.9	333.8	188.8
Ddt	783.6	626.9	933.7	687.4	1069.8	987.9
Ddx18	3948.7	3676.1	4670.2	4340.9	3620	3868.8
Ubl3	3190.1	2933	3427.5	3113.9	3901.9	3873.7
Gramd3	610.9	552.9	474.3	435.8	241.5	191.2
Eef1e1	1514.3	1421.5	2004.7	1744	1551.9	1662.8
Akt1	10916.6	10957.1	12143.3	11641	10967.7	11220.3
Il16	2094.6	2034.4	2814.9	2436.3	6943.4	7066.4
Tcirg1	4454.7	4071.6	4782.5	4438.8	7888.9	6417.2
Naglu	532.9	629.7	555	625.7	435.4	376.4
Coasy	1836.5	1872.3	1874.8	1941.8	1287.5	1320.5
Smo	1894	2292.1	1169.4	1629.4	370.1	308.2
Crnkl1	2245	2247.1	2510.5	2409.9	2334.5	2430.2
Rin2	69.6	54.4	117.9	73.4	37.3	23.1
Chordc1	4399	4424.8	5569.6	5204.6	4762.3	4879.9
Rtcb	6455.5	6293.4	6713.9	6466.8	6213.6	6462.2
Pwp1	2816	2790.6	3198.2	3114.9	2399.8	2645.8
Fbxo7	999	930.5	935.5	1017.4	850	871
Capns1	5171.4	5240.1	5092.5	5038.1	4313.5	4242.8
Clpb	1143.8	1116	1294.7	1316.1	1272	1361.9
Sept7	8067.2	8075.7	8692.6	8273.4	9883.4	9301.7
Zdhhc4	1268.3	1257.5	1255.7	1361.1	1202.5	1281.5
Rac1	10073.6	10027.6	11141	10807.7	13952.2	14196.2
