	MPP3_Ebf1_KO1	MPP3_Ebf1_KO2	MPP3_Ebf1_KO3	MPP3_Ebf1_KO4	MPP3_Ebf1_WT1	MPP3_Ebf1_WT2	MPP3_Ebf1_WT3	MPP3_Ebf1_WT4
ENSMUSG00000024969.15	2231	1944	2374	2597	2235	1636	2600	2262
ENSMUSG00000024970.4	134	105	100	115	110	128	99	124
ENSMUSG00000024972.16	0	0	0	0	0	0	6	0
ENSMUSG00000024973.16	0	0	0	0	0	0	0	0
ENSMUSG00000024974.10	9932	7965	10600	11232	7805	6584	11078	11738
ENSMUSG00000024975.12	4836	3322	4209	4620	1833	1940	3586	4680
ENSMUSG00000024976.13	1921	1488	2223	2551	2216	1608	2476	2304
ENSMUSG00000024978.10	420	349	549	481	570	395	424	492
ENSMUSG00000024979.13	0	0	0	0	0	0	0	0
ENSMUSG00000024981.5	10955	8992	11133	12301	9827	8241	12113	11544
ENSMUSG00000024982.9	5038	3753	4835	5152	4428	3458	5176	4385
ENSMUSG00000024983.9	1379	1221	1889	1700	1406	1134	1784	2132
ENSMUSG00000024985.18	3017	1945	2126	2386	2077	1541	3438	2872
ENSMUSG00000024986.11	5316	4476	4986	5085	3904	3162	6761	5961
ENSMUSG00000024987.5	0	0	0	0	0	0	0	0
ENSMUSG00000024989.14	1969	1294	1990	2023	2094	1126	2354	2342
ENSMUSG00000024990.12	0	0	6	0	0	0	0	0
ENSMUSG00000024991.7	12425	9564	11753	15297	10247	8304	13808	13689
ENSMUSG00000024992.12	0	0	0	0	0	0	0	0
ENSMUSG00000024993.15	1509	1205	1413	1528	1205	906	1333	1295
ENSMUSG00000024997.7	6115	4893	5864	6052	4902	3615	5531	6527
ENSMUSG00000024998.17	0	0	0	0	0	0	1	0
ENSMUSG00000024999.7	1091	753	1108	1379	984	1041	1221	1037
ENSMUSG00000025001.11	7233	5964	6073	7790	5382	4505	7569	6760
ENSMUSG00000025002.5	0	0	0	0	0	0	0	0
ENSMUSG00000025003.6	0	0	0	0	0	0	0	0
ENSMUSG00000025004.15	0	0	0	0	0	0	0	0
ENSMUSG00000025006.15	446	380	258	433	419	221	547	371
ENSMUSG00000025007.13	4546	3369	4806	5427	5106	3905	5042	5254
ENSMUSG00000025008.15	553	396	695	659	742	611	658	723
ENSMUSG00000025010.13	988	658	635	1138	708	738	799	910
ENSMUSG00000025013.14	0	2	2	0	1	0	0	5
ENSMUSG00000025014.12	3028	1461	1727	1281	1855	918	1965	1711
ENSMUSG00000025016.10	9185	6512	7130	5204	2034	3015	6014	8037
ENSMUSG00000025017.9	1256	1287	1249	1110	968	784	1231	1244
ENSMUSG00000025019.15	952	383	912	837	593	554	845	636
ENSMUSG00000025020.11	7	12	48	5	3	0	4	55
ENSMUSG00000025024.6	1888	1423	1635	2064	1371	1224	2220	1979
ENSMUSG00000025025.13	530	638	691	528	351	413	858	422
ENSMUSG00000025026.14	5230	4269	4603	5379	4808	3825	5590	6287
ENSMUSG00000025027.17	4363	3904	5211	4690	4271	2780	4620	5482
ENSMUSG00000025034.8	1870	1420	1622	1426	1034	1026	1438	1867
ENSMUSG00000025035.8	1424	1136	1356	1337	1188	877	1556	1673
ENSMUSG00000025036.6	855	1023	1238	1057	841	536	938	851
ENSMUSG00000025037.6	1177	919	1032	1135	757	590	1283	1471
ENSMUSG00000025038.7	46	53	80	35	71	20	55	28
ENSMUSG00000025040.13	3544	2974	3176	3006	2787	2379	4100	3462
ENSMUSG00000025041.16	4445	3444	3535	3904	3037	2644	5120	4437
ENSMUSG00000025043.3	0	0	0	0	0	0	0	0
ENSMUSG00000025044.15	0	7	0	0	3	0	0	3
ENSMUSG00000025047.8	1853	1528	1840	2054	1633	1409	2226	1952
ENSMUSG00000025049.5	238	143	168	156	125	72	170	223
ENSMUSG00000025050.7	1735	1628	1836	1285	647	924	1639	1690
ENSMUSG00000025051.1	0	0	0	0	0	0	0	0
ENSMUSG00000025056.4	0	0	0	0	0	0	0	0
ENSMUSG00000025058.4	1509	1462	1439	1813	1216	1095	1959	1747
ENSMUSG00000025059.16	683	754	1032	1066	860	731	1108	1149
ENSMUSG00000025060.14	606	388	542	782	454	445	730	494
ENSMUSG00000025064.14	0	0	0	7	0	0	0	15
ENSMUSG00000025066.9	8140	5778	7437	7622	6243	5516	8826	8461
ENSMUSG00000025068.7	11170	9915	12289	11548	7819	6512	11900	12054
ENSMUSG00000025069.14	16	2	0	17	13	9	23	7
ENSMUSG00000025075.14	0	0	0	0	3	1	2	5
ENSMUSG00000025076.9	2198	2129	2285	2320	2218	2001	2597	2770
ENSMUSG00000025077.13	612	322	666	916	650	554	886	663
ENSMUSG00000025078.8	1836	1187	1857	2141	1399	1299	2029	1787
ENSMUSG00000025081.13	0	0	0	0	0	0	0	0
ENSMUSG00000025082.8	0	0	0	0	0	0	0	0
ENSMUSG00000025083.17	0	0	0	0	0	0	0	0
ENSMUSG00000025085.16	2526	2392	2332	2404	2367	1608	2157	2285
ENSMUSG00000025086.12	2174	1663	1908	2114	1903	1448	2372	2026
ENSMUSG00000025089.15	3	0	0	16	0	0	0	54
ENSMUSG00000025090.8	0	0	0	0	0	0	0	0
ENSMUSG00000025091.3	0	0	0	0	0	0	0	0
ENSMUSG00000025092.6	0	0	0	0	0	0	0	0
ENSMUSG00000025094.7	3747	2845	5927	6246	4787	3481	5264	4308
ENSMUSG00000025102.14	1620	1400	1568	1732	1420	1107	1863	1702
ENSMUSG00000025103.8	1620	1499	1298	829	425	521	1096	1493
ENSMUSG00000025104.13	864	629	582	426	239	294	577	861
ENSMUSG00000025105.9	0	0	0	0	0	0	0	0
ENSMUSG00000025127.15	0	0	0	0	0	0	0	0
ENSMUSG00000025128.7	0	0	0	0	0	0	0	0
ENSMUSG00000025129.2	0	1	3	2	17	19	2	1
ENSMUSG00000025130.11	24486	22435	32538	32888	22345	17244	23921	26587
ENSMUSG00000025132.13	18403	16548	19663	21553	21866	14997	19488	20665
ENSMUSG00000025133.9	4195	3475	4126	4612	3752	2700	4528	4396
ENSMUSG00000025134.2	891	554	807	797	525	594	801	811
ENSMUSG00000025135.12	4185	3847	4762	5518	4637	3667	3968	4546
ENSMUSG00000025137.15	3213	2820	3252	3835	4066	3294	3395	3432
ENSMUSG00000025138.14	4620	4082	6612	6356	4960	3648	5406	5072
ENSMUSG00000025139.13	3323	2610	3397	3701	3321	2386	3009	3444
ENSMUSG00000025140.15	540	396	539	514	248	218	376	368
ENSMUSG00000025141.2	10	19	17	10	17	17	20	0
ENSMUSG00000025142.17	3662	2354	3186	3668	3278	2589	3655	3801
ENSMUSG00000025144.17	5671	4922	6479	6754	5769	4212	6456	6158
ENSMUSG00000025145.13	2360	1958	3461	3420	3064	2422	2926	2591
ENSMUSG00000025147.6	4056	3464	4103	4295	3538	2838	4808	4862
ENSMUSG00000025150.10	15	56	35	52	48	15	0	28
ENSMUSG00000025151.16	2977	2311	2784	2980	3266	2269	3774	3340
ENSMUSG00000025153.9	1813	1636	1379	1746	2432	1794	1802	1608
ENSMUSG00000025154.14	1099	1310	1854	1720	1572	1072	1460	1609
ENSMUSG00000025155.15	3267	2813	3936	4507	3324	2578	3218	3900
ENSMUSG00000025156.17	5402	4553	5794	6357	5362	3772	6094	5670
ENSMUSG00000025157.7	2035	1718	1971	2073	1976	1288	1679	1863
ENSMUSG00000025158.7	1335	977	1684	1666	1084	1003	1318	1427
ENSMUSG00000025159.8	2082	1604	2193	2153	2094	1516	1921	2069
ENSMUSG00000025161.16	307	404	386	472	755	372	338	566
ENSMUSG00000025162.17	8443	7233	8516	8152	5987	5616	8733	9632
ENSMUSG00000025163.6	159	99	96	190	124	30	108	81
ENSMUSG00000025165.12	0	0	0	0	0	0	0	0
ENSMUSG00000025169.6	1284	907	1311	1275	972	683	1200	1487
ENSMUSG00000025170.13	94	78	114	182	142	64	133	192
ENSMUSG00000025171.1	235	214	183	170	195	94	182	168
ENSMUSG00000025172.2	0	0	0	0	0	0	0	0
ENSMUSG00000025173.13	2702	2278	2905	2580	2374	1547	3569	2949
ENSMUSG00000025175.12	17	0	34	18	17	3	49	8
ENSMUSG00000025176.14	19	29	0	19	0	0	19	0
ENSMUSG00000025178.8	527	452	801	744	516	373	513	519
ENSMUSG00000025184.10	2152	1114	1796	2106	1444	1153	2217	1841
ENSMUSG00000025185.14	0	0	18	0	0	18	0	12
ENSMUSG00000025188.15	3051	2831	3112	2631	3583	2331	3253	3466
ENSMUSG00000025189.8	0	0	14	6	3	11	4	43
ENSMUSG00000025190.13	1449	1203	1800	2046	1815	1140	1456	1860
ENSMUSG00000025192.13	743	517	895	1001	926	593	534	841
ENSMUSG00000025193.14	1290	1264	1876	1759	1328	855	1746	1859
ENSMUSG00000025194.5	3	15	23	24	3	21	0	7
ENSMUSG00000025195.8	540	345	315	376	653	417	426	467
ENSMUSG00000025196.4	33	10	23	45	28	30	54	31
ENSMUSG00000025197.8	0	0	0	0	0	0	0	0
ENSMUSG00000025198.16	2080	2178	3040	3236	2537	1967	2343	2586
ENSMUSG00000025199.16	1848	1098	1598	1300	617	856	1390	1744
ENSMUSG00000025200.6	1481	1242	1187	1632	1115	928	1412	1499
ENSMUSG00000025201.7	58	44	57	50	71	37	61	60
ENSMUSG00000025202.7	0	11	7	4	15	0	24	27
ENSMUSG00000025203.5	2671	2517	3216	4115	5120	3496	4131	3407
ENSMUSG00000025204.10	8653	7791	9418	9556	8116	5211	9466	8601
ENSMUSG00000025207.15	43	21	26	21	33	32	60	43
ENSMUSG00000025208.8	2092	1810	2587	2759	2148	1445	2261	2490
ENSMUSG00000025209.4	1718	1603	1515	1428	1820	1484	2106	1677
ENSMUSG00000025212.16	3405	2711	2731	2830	2839	2245	3491	3861
ENSMUSG00000025213.11	69	45	72	80	44	62	95	69
ENSMUSG00000025215.10	0	0	0	0	0	1	0	0
ENSMUSG00000025216.9	0	0	0	0	0	0	0	0
ENSMUSG00000025217.14	1890	1560	2112	1836	2006	1451	2393	2022
ENSMUSG00000025218.6	1081	978	1254	1229	1133	720	1267	1225
ENSMUSG00000025219.13	2	0	0	0	4	0	0	0
ENSMUSG00000025220.7	3627	2013	2512	2277	1840	1582	2822	3089
ENSMUSG00000025221.15	0	0	0	0	0	0	0	0
ENSMUSG00000025223.14	1045	790	867	1055	1208	923	1276	1035
ENSMUSG00000025224.14	1368	963	2099	2408	2261	1459	2258	1433
ENSMUSG00000025225.14	458	480	629	689	929	706	687	689
ENSMUSG00000025226.11	369	502	574	551	465	391	616	649
ENSMUSG00000025227.14	4058	3284	4325	4458	4616	3027	4339	4959
ENSMUSG00000025228.4	5210	4692	5868	6056	6257	4251	6111	5792
ENSMUSG00000025229.15	0	0	0	0	0	0	0	0
ENSMUSG00000025231.16	1372	1109	1263	1288	2127	1444	1402	1398
ENSMUSG00000025232.7	6326	5772	7982	8006	6536	3896	6527	6838
ENSMUSG00000025234.11	1422	923	1097	1290	1175	722	1614	1283
ENSMUSG00000025235.7	1028	660	845	1033	830	462	990	802
ENSMUSG00000025236.10	2001	1902	2409	2650	1939	1513	2311	2339
ENSMUSG00000025237.15	1044	931	1444	1130	712	730	1449	1004
ENSMUSG00000025239.2	2579	1823	2487	2625	2422	1741	2818	2803
ENSMUSG00000025240.8	2573	2220	2856	3305	2570	2310	3342	2993
ENSMUSG00000025241.15	598	352	641	757	741	416	695	750
ENSMUSG00000025243.14	0	0	6	10	0	1	0	0
ENSMUSG00000025245.13	706	471	818	801	586	625	883	962
ENSMUSG00000025246.13	6007	4491	4970	5040	4473	3000	6827	5604
ENSMUSG00000025255.18	0	0	0	0	0	0	0	0
ENSMUSG00000025257.5	64	141	175	109	180	69	77	153
ENSMUSG00000025260.10	6666	5460	6152	6281	5052	3902	7456	6626
ENSMUSG00000025261.17	2958	2366	2660	3298	3177	1984	3481	3106
ENSMUSG00000025262.8	450	324	299	453	471	414	614	399
ENSMUSG00000025264.12	1917	1656	2024	2036	1344	1329	2273	2020
ENSMUSG00000025265.14	133	82	84	48	70	113	228	199
ENSMUSG00000025266.11	2370	1461	1670	2343	1801	1150	2350	2212
ENSMUSG00000025268.15	1594	1247	1608	1290	1693	1060	1854	1602
ENSMUSG00000025269.16	484	371	416	679	578	394	428	371
ENSMUSG00000025270.13	17	8	26	28	28	6	79	28
ENSMUSG00000025271.13	226	106	182	144	192	99	205	154
ENSMUSG00000025272.16	20	26	53	74	36	40	47	67
ENSMUSG00000025277.13	694	497	459	588	482	311	786	534
ENSMUSG00000025278.8	969	685	1052	1392	1342	824	1089	769
ENSMUSG00000025279.7	0	8	20	6	0	7	0	30
ENSMUSG00000025280.7	1001	843	1090	1394	979	737	984	973
ENSMUSG00000025283.15	3600	2607	4624	4136	2754	2313	4618	3208
ENSMUSG00000025287.15	1970	1465	2202	2298	1644	1117	2303	2154
ENSMUSG00000025288.1	0	0	0	0	0	0	0	0
ENSMUSG00000025289.15	2863	2244	1874	2090	2605	1558	2993	2970
ENSMUSG00000025290.16	19937	14898	17192	16648	13422	10221	19174	17950
ENSMUSG00000025314.16	554	259	453	458	400	324	549	595
ENSMUSG00000025316.16	1046	572	2135	3356	2386	1955	1275	1017
ENSMUSG00000025317.7	0	0	0	0	0	0	0	0
ENSMUSG00000025318.13	0	0	6	2	1	0	0	18
ENSMUSG00000025321.14	0	0	0	0	0	0	0	0
ENSMUSG00000025323.9	511	523	652	660	554	569	834	732
ENSMUSG00000025324.8	1811	1661	2212	1649	1221	1149	1890	1982
ENSMUSG00000025326.12	3064	1984	2341	2700	1597	1715	2915	2586
ENSMUSG00000025328.9	6	40	8	41	2	0	6	3
ENSMUSG00000025329.3	36	34	54	29	55	23	38	10
ENSMUSG00000025330.6	6521	4937	4950	5157	5486	4387	5843	5386
ENSMUSG00000025332.14	1160	725	1435	1778	3062	1927	1294	1224
ENSMUSG00000025333.10	0	0	0	0	0	0	0	0
ENSMUSG00000025337.10	5348	4781	4548	5695	3814	3129	6012	5334
ENSMUSG00000025340.14	1095	848	1184	1067	1182	779	1248	1160
ENSMUSG00000025347.3	0	1	0	0	0	0	7	3
ENSMUSG00000025348.8	0	0	0	0	0	0	0	0
ENSMUSG00000025350.15	33	46	79	95	62	62	98	61
ENSMUSG00000025351.13	12217	10174	11331	12144	8970	7134	12665	12524
ENSMUSG00000025352.6	209	36	158	98	22	66	245	143
ENSMUSG00000025353.4	1418	1390	1811	1973	1516	926	1449	1400
ENSMUSG00000025354.4	2412	2214	2867	2572	2487	1700	2659	2774
ENSMUSG00000025355.6	93	135	120	143	54	19	102	15
ENSMUSG00000025357.7	644	577	738	742	608	379	665	423
ENSMUSG00000025358.15	9068	7158	9012	10096	8307	6392	11621	10138
ENSMUSG00000025359.9	36	24	114	38	101	31	62	73
ENSMUSG00000025362.5	19491	18043	20588	22643	15101	11754	20606	20871
ENSMUSG00000025364.12	19164	17599	18022	20635	14807	12297	20842	21908
ENSMUSG00000025366.7	4111	3297	4010	3808	4384	3423	4446	4794
ENSMUSG00000025369.14	3739	2347	2963	3402	5407	2905	3185	3742
ENSMUSG00000025370.6	0	0	0	0	0	0	0	0
ENSMUSG00000025371.12	3585	3072	4099	4080	5463	2416	3790	3895
ENSMUSG00000025372.16	633	595	793	543	589	424	875	709
ENSMUSG00000025373.13	2146	2002	2106	2706	1693	1201	2286	2250
ENSMUSG00000025374.13	2153	1967	2413	2376	2265	1695	2492	2459
ENSMUSG00000025375.15	100	53	77	117	119	119	73	55
ENSMUSG00000025377.14	362	301	501	450	497	424	579	455
ENSMUSG00000025380.2	0	0	0	0	0	0	0	0
ENSMUSG00000025381.2	5357	4644	5627	5745	4914	3296	5443	5905
ENSMUSG00000025383.1	5	0	0	0	0	0	0	0
ENSMUSG00000025384.15	1442	877	1334	1347	1953	921	1212	1679
ENSMUSG00000025386.2	0	0	2	10	0	13	0	1
ENSMUSG00000025389.7	5	0	10	0	0	0	0	0
ENSMUSG00000025393.12	53581	43748	52881	56695	47064	32295	55022	56962
ENSMUSG00000025395.14	5393	3715	5358	5985	4380	3719	5733	5364
ENSMUSG00000025396.6	0	0	0	0	0	0	0	0
ENSMUSG00000025400.10	0	0	1	0	1	9	0	4
ENSMUSG00000025401.8	0	0	0	23	8	0	0	0
ENSMUSG00000025402.12	178	135	132	142	217	134	250	263
ENSMUSG00000025403.4	10198	8724	10422	10405	9828	7312	10989	12124
ENSMUSG00000025404.15	1081	787	1152	1233	1117	685	1010	1166
ENSMUSG00000025405.8	0	0	0	0	0	0	0	0
ENSMUSG00000025407.6	0	0	0	0	13	1	9	6
ENSMUSG00000025408.15	585	521	901	895	780	354	783	647
ENSMUSG00000025409.14	575	277	451	627	843	530	550	447
ENSMUSG00000025410.9	3534	2692	3537	3950	3159	2590	4124	3891
ENSMUSG00000025413.13	2762	2028	3171	3206	2810	2091	3673	3248
ENSMUSG00000025417.7	1285	1074	1498	1580	1970	1426	1745	1878
ENSMUSG00000025418.7	0	0	0	0	0	0	0	0
ENSMUSG00000025420.13	14	48	38	41	35	16	19	28
ENSMUSG00000025421.14	2936	2776	3686	3732	2783	2408	3303	3811
ENSMUSG00000025422.8	86	47	152	166	156	158	127	125
ENSMUSG00000025423.15	1662	1404	1538	1341	1097	1117	2022	1756
ENSMUSG00000025425.17	0	6	0	0	0	0	0	0
ENSMUSG00000025427.14	0	0	0	0	0	0	0	0
ENSMUSG00000025428.15	40835	35560	41768	46215	36813	25472	44877	48041
ENSMUSG00000025429.8	114	140	201	206	93	77	109	147
ENSMUSG00000025431.4	0	0	0	0	0	0	0	0
ENSMUSG00000025432.11	9	2	1	0	0	0	1	0
ENSMUSG00000025433.7	0	0	7	2	7	0	0	0
ENSMUSG00000025436.11	1561	1585	1629	1853	1423	1062	1919	1672
ENSMUSG00000025437.15	1232	951	1329	1780	1383	1069	1291	1497
ENSMUSG00000025439.5	7196	5792	6958	6942	5055	3729	6837	7206
ENSMUSG00000025450.4	191	51	163	185	187	206	300	152
ENSMUSG00000025451.15	2337	1723	1900	2257	1653	1684	2381	2395
ENSMUSG00000025453.16	3089	2423	3066	3974	3413	2387	3613	3418
ENSMUSG00000025461.10	0	0	0	9	0	2	0	0
ENSMUSG00000025464.14	1733	1592	1823	1798	1660	1101	1857	1682
ENSMUSG00000025465.12	5671	5103	6229	5426	4547	3353	5961	6214
ENSMUSG00000025466.18	289	230	203	241	206	175	125	201
ENSMUSG00000025467.8	0	0	0	0	0	0	0	0
ENSMUSG00000025468.14	0	0	0	0	0	0	0	4
ENSMUSG00000025469.10	0	0	0	0	0	0	0	0
ENSMUSG00000025470.10	980	764	1197	1284	817	757	1135	1174
ENSMUSG00000025473.16	37	34	9	13	0	7	17	16
ENSMUSG00000025474.8	4535	3512	4289	4499	3672	2815	5228	5260
ENSMUSG00000025475.17	0	0	0	0	0	0	0	0
ENSMUSG00000025477.13	98	56	54	48	39	61	108	62
ENSMUSG00000025478.15	0	0	0	0	0	0	0	0
ENSMUSG00000025479.8	0	0	0	0	0	0	0	0
ENSMUSG00000025480.4	0	0	0	0	0	0	522	132
ENSMUSG00000025481.11	0	0	0	0	0	0	0	0
ENSMUSG00000025482.11	0	0	0	0	3	0	0	0
ENSMUSG00000025484.8	1519	1401	1574	1815	1262	956	1699	1540
ENSMUSG00000025485.12	4672	3424	4932	4389	3810	2983	5297	5278
ENSMUSG00000025486.16	9422	7758	10042	9285	8815	5474	10817	9594
ENSMUSG00000025487.14	7112	6272	7720	8504	6559	4493	7788	8106
ENSMUSG00000025488.8	0	0	0	0	0	0	0	0
ENSMUSG00000025489.4	35	13	39	38	41	14	48	7
ENSMUSG00000025491.14	24530	22598	18123	17429	15558	9014	18778	17109
ENSMUSG00000025492.6	15524	13531	19063	15626	12201	9465	14102	14916
ENSMUSG00000025494.7	3555	3295	3747	3217	3546	2593	4377	3474
ENSMUSG00000025495.14	1046	845	1141	1217	1240	929	1138	1012
ENSMUSG00000025496.4	0	0	0	0	0	0	0	0
ENSMUSG00000025497.14	0	0	0	0	0	1	0	0
ENSMUSG00000025498.14	1221	1162	2839	1709	1415	936	1056	1359
ENSMUSG00000025499.17	79	115	116	80	62	73	73	77
ENSMUSG00000025500.11	20	36	43	53	25	41	40	43
ENSMUSG00000025503.4	16998	16139	18963	18926	14261	10948	19042	18235
ENSMUSG00000025504.12	122	76	56	64	73	100	78	48
ENSMUSG00000025505.16	727	868	1088	1022	990	783	1057	1111
ENSMUSG00000025507.13	970	833	932	1233	1779	1139	1414	1305
ENSMUSG00000025508.13	16171	14093	16745	17675	15117	10692	16808	17492
ENSMUSG00000025509.15	3275	2720	3852	3326	4055	2464	3301	4336
ENSMUSG00000025510.13	2067	1863	2205	2439	2400	1271	2250	2109
ENSMUSG00000025511.14	9720	8417	10259	10643	9281	6646	11770	11467
ENSMUSG00000025512.14	887	1057	1475	1529	1470	961	1102	1289
ENSMUSG00000025515.15	3	7	8	4	4	1	5	2
ENSMUSG00000025519.5	0	0	0	0	0	0	0	0
ENSMUSG00000025521.14	1998	1662	2167	2002	1323	1276	2042	2107
ENSMUSG00000025525.12	1663	1151	1382	1449	1237	878	1724	1397
ENSMUSG00000025527.9	0	0	0	0	0	0	1	0
ENSMUSG00000025528.10	0	0	0	0	0	0	0	0
ENSMUSG00000025529.14	0	0	18	2	7	0	116	29
ENSMUSG00000025531.14	998	868	964	1118	747	720	1219	948
ENSMUSG00000025532.13	2261	1866	2440	2513	1932	1549	2372	2525
ENSMUSG00000025533.15	2376	2536	3030	3456	2715	1697	2973	2974
ENSMUSG00000025534.17	7847	7232	8102	9576	7363	4974	8308	8428
ENSMUSG00000025537.12	20	4	18	6	6	0	20	2
ENSMUSG00000025538.15	1541	1185	1631	1600	1323	839	1393	1327
ENSMUSG00000025544.13	8955	6379	7866	8809	6869	5226	8974	8161
ENSMUSG00000025545.9	1904	1071	1445	1502	1251	920	1679	1546
ENSMUSG00000025551.13	0	0	8	0	0	0	0	0
ENSMUSG00000025555.14	25	12	4	10	22	38	46	20
ENSMUSG00000025557.9	0	8	9	10	0	1	0	0
ENSMUSG00000025558.15	655	429	506	603	474	300	481	511
ENSMUSG00000025571.13	2403	1560	1968	2148	2074	1975	2357	2359
ENSMUSG00000025572.17	1606	1029	1383	1636	1396	1036	1526	1301
ENSMUSG00000025573.4	0	0	0	5	6	11	0	0
ENSMUSG00000025574.13	6725	5256	6794	7967	6957	4333	8093	8387
ENSMUSG00000025575.14	1844	1486	2126	1834	2417	1887	1800	1907
ENSMUSG00000025576.17	0	0	0	0	0	0	0	0
ENSMUSG00000025577.7	905	744	809	746	1023	934	982	944
ENSMUSG00000025578.9	777	700	784	801	602	471	778	622
ENSMUSG00000025579.14	4402	3839	3983	3918	5311	3000	3806	4899
ENSMUSG00000025580.15	8858	8444	10461	10840	9336	6431	10219	10800
ENSMUSG00000025582.4	0	0	0	0	0	0	0	0
ENSMUSG00000025583.15	1240	1168	1242	1920	2918	1001	1804	1808
ENSMUSG00000025584.17	180	153	180	171	71	70	122	145
ENSMUSG00000025586.17	0	0	0	0	0	0	0	0
ENSMUSG00000025588.3	18	8	45	38	4	23	35	31
ENSMUSG00000025591.5	2037	1406	1758	1927	1251	1131	2168	1743
ENSMUSG00000025592.17	151	52	133	109	114	18	63	64
ENSMUSG00000025597.13	423	263	284	501	373	122	514	396
ENSMUSG00000025602.13	384	369	465	489	312	299	708	440
ENSMUSG00000025607.15	3393	2744	3287	3486	3240	2291	3703	4241
ENSMUSG00000025608.9	38	23	8	24	63	23	50	24
ENSMUSG00000025609.15	5687	3491	4907	5321	4605	3921	5640	5178
ENSMUSG00000025610.7	0	0	0	0	0	0	0	0
ENSMUSG00000025612.5	694	397	502	578	396	374	572	625
ENSMUSG00000025613.13	25683	21399	24107	27359	20237	16212	25168	27601
ENSMUSG00000025616.14	1513	1188	1597	1840	1156	1061	1621	1439
ENSMUSG00000025626.16	4275	3735	4687	5094	4291	3155	5563	5034
ENSMUSG00000025630.8	12374	8196	9419	9620	8191	6627	12730	12010
ENSMUSG00000025644.10	0	0	0	0	0	0	0	0
ENSMUSG00000025645.8	701	720	903	890	630	366	783	768
ENSMUSG00000025646.8	48	27	35	48	29	52	70	28
ENSMUSG00000025647.16	10296	8116	10296	9776	9360	7304	12290	11550
ENSMUSG00000025648.17	316	466	371	462	497	319	387	507
ENSMUSG00000025650.12	0	12	8	0	0	7	30	0
ENSMUSG00000025651.14	25097	24620	31243	33627	26174	16869	29098	30505
ENSMUSG00000025652.6	0	0	0	0	0	0	0	0
ENSMUSG00000025656.17	144	87	53	85	81	36	184	118
ENSMUSG00000025658.16	0	0	1	0	0	0	0	0
ENSMUSG00000025665.16	7	13	75	16	221	81	118	53
ENSMUSG00000025666.16	13	0	0	0	0	0	0	0
ENSMUSG00000025701.12	219	285	496	591	171	162	204	306
ENSMUSG00000025702.15	555	497	477	509	434	368	452	643
ENSMUSG00000025716.14	0	0	0	0	0	0	0	0
ENSMUSG00000025722.16	3020	2806	3707	3890	3244	2589	3535	3790
ENSMUSG00000025723.12	47	53	89	79	20	20	80	54
ENSMUSG00000025724.12	5741	5176	6178	6162	5142	3785	6600	5382
ENSMUSG00000025726.11	0	0	0	0	0	0	0	0
ENSMUSG00000025727.8	0	0	0	0	0	0	0	0
ENSMUSG00000025728.15	2240	1357	2000	2250	2185	1698	2079	2230
ENSMUSG00000025730.14	445	370	247	221	217	274	303	422
ENSMUSG00000025731.15	2882	2226	2727	2985	2554	1627	2723	2755
ENSMUSG00000025732.5	1125	1126	1242	1207	1014	825	1143	1272
ENSMUSG00000025733.17	458	246	483	538	726	552	562	454
ENSMUSG00000025735.13	2	0	0	2	1	0	0	0
ENSMUSG00000025736.14	1125	765	1275	1290	1105	686	1253	1189
ENSMUSG00000025737.5	1812	1783	2345	2484	2732	1551	2144	2313
ENSMUSG00000025738.7	0	0	0	3	0	23	0	0
ENSMUSG00000025739.13	0	0	0	4	0	0	0	0
ENSMUSG00000025742.5	5028	3380	4116	4175	3752	3110	5128	4732
ENSMUSG00000025743.14	84	56	93	29	71	91	26	4
ENSMUSG00000025745.11	5215	4742	6517	6813	5760	4035	6172	6401
ENSMUSG00000025746.11	0	0	4	9	7	0	3	6
ENSMUSG00000025747.12	7556	5178	7103	9195	7337	5360	8091	7662
ENSMUSG00000025754.11	0	3	2	1	13	28	0	0
ENSMUSG00000025757.12	1758	1484	1907	2467	2005	1279	2018	1812
ENSMUSG00000025758.10	2985	2059	2865	3057	2757	1930	3861	2937
ENSMUSG00000025759.11	856	575	725	633	570	525	921	729
ENSMUSG00000025762.14	178	132	178	268	97	101	225	151
ENSMUSG00000025764.14	1424	1296	1901	1702	1430	1054	1942	1756
ENSMUSG00000025766.14	499	382	485	545	565	430	671	634
ENSMUSG00000025774.14	0	0	0	0	0	0	0	0
ENSMUSG00000025776.13	1003	613	599	590	617	417	1071	831
ENSMUSG00000025777.8	27	0	24	43	0	19	0	3
ENSMUSG00000025779.10	313	178	196	228	297	152	294	322
ENSMUSG00000025780.7	5136	3873	3801	3581	4170	2614	6294	5327
ENSMUSG00000025781.14	20056	15747	19084	19666	16098	11634	20508	19766
ENSMUSG00000025782.12	2146	1539	2211	2355	1587	1287	1970	1881
ENSMUSG00000025783.2	0	0	0	0	0	0	0	0
ENSMUSG00000025784.4	3	0	6	12	5	7	8	8
ENSMUSG00000025785.4	7819	6649	8170	8966	6687	5019	8623	8187
ENSMUSG00000025786.15	4335	3258	3706	3973	3284	2991	4758	4617
ENSMUSG00000025787.5	7	8	2	12	15	6	23	19
ENSMUSG00000025789.9	32	11	23	46	17	27	40	33
ENSMUSG00000025790.14	3334	2333	3248	3780	2015	1718	3106	2994
ENSMUSG00000025791.18	3359	2558	3537	3626	2748	2100	3669	3906
ENSMUSG00000025792.9	1082	908	1429	1505	1108	979	1229	1142
